CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,ESTADO DOS,PROMEDIO_TRES,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_ASES,VECES_ASES,CREDITOS_ASES,NOTA_TOP,VECES_TOP,CREDITOS_TOP
1,17,17,0,6,6,0,1,1,36.05555556,30,1,3,40,2,3,35,1,3,35,1,2,30,1,3,40,1,3
2,17,17,0,6,6,0,2,3,35.94444444,30,1,3,34,1,3,32,4,3,35,2,2,38,1,3,30,1,3
0,17,17,0,6,6,0,1,1,38.55555556,40,1,3,30,1,3,35,1,3,40,1,2,45,1,3,40,1,3
1,17,17,0,6,6,0,1,1,34.11111111,35,1,3,35,2,3,30,1,3,35,1,2,35,1,3,40,1,3
1,17,17,0,6,6,0,1,1,39.5,50,2,3,30,1,3,30,1,3,35,1,2,42,1,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
3,17,8,9,6,3,3,2,3,22.75,10,2,3,15,4,3,15,3,3,30,1,2,32,1,3,30,1,3
0,17,17,0,6,6,0,1,1,36.16666667,35,1,3,30,1,3,35,1,3,40,1,2,35,1,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
0,17,17,0,6,6,0,1,1,39.94444444,50,1,3,40,1,3,30,1,3,35,1,2,45,1,3,40,1,3
2,17,17,0,6,6,0,1,1,37.5,50,2,3,30,1,3,30,1,3,35,1,2,35,2,3,35,1,3
3,17,17,0,6,6,0,2,3,31,35,1,3,39,4,3,30,3,3,37,2,2,32,1,3,33,1,3
0,17,17,0,6,6,0,1,1,34.88888889,35,1,3,30,1,3,35,1,3,35,1,2,35,1,3,35,1,3
0,17,2,15,1,1,5,2,3,0,0,0,3,0,0,3,0,0,3,30,1,2,0,0,3,0,0,3
1,17,8,9,6,3,3,2,3,16.71428571,30,1,3,0,1,3,5,1,3,30,1,2,5,2,3,34,1,3
3,17,17,0,6,6,0,2,3,34,35,2,3,31,2,3,30,3,3,35,1,2,37,1,3,30,1,3
1,17,17,0,6,6,0,1,1,35.83333333,35,2,3,30,1,3,30,1,3,40,1,2,30,1,3,30,1,3
2,17,17,0,6,6,0,2,3,34.83333333,36,1,3,31,3,3,31,4,3,35,1,2,30,1,3,30,1,3
3,17,17,0,6,6,0,1,1,35.77777778,30,2,3,33,1,3,31,1,3,33,1,2,38,2,3,43,2,3
2,17,17,0,6,6,0,1,1,37.27777778,35,2,3,30,2,3,30,1,3,35,1,2,35,1,3,35,1,3
3,17,17,0,6,6,0,1,1,39.66666667,35,2,3,30,2,3,30,2,3,37,1,2,30,1,3,30,1,3
2,17,17,0,6,6,0,1,1,38,30,1,3,36,1,3,31,1,3,35,1,2,30,2,3,30,2,3
1,17,17,0,6,6,0,1,1,37.38888889,40,2,3,35,1,3,35,1,3,40,1,2,35,1,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,3
1,17,17,0,6,6,0,1,1,38.77777778,45,1,3,40,2,3,30,1,3,45,1,2,30,1,3,30,1,3
1,17,17,0,6,6,0,1,1,33.38888889,35,1,3,35,1,3,32,2,3,35,1,2,30,1,3,30,1,3
