CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,ESTADO DOS,PROMEDIO_TRES,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_MULTI,VECES_MULTI,CREDITOS_MULTI,NOTA_ECUA,VECES_ECUA,CREDITOS_ECUA,NOTA_FOTO,VECES_FOTO,CREDITOS_FOTO,NOTA_SUELOS,VECES_SUELOS,CREDITOS_SUELOS
2,17,17,0,6,6,0,2,3,34.5,45,1,1,30,1,3,32,2,3,33,1,3,39,1,3,42,1,2,30,1,3
3,17,17,0,6,6,0,2,3,35.05555556,50,1,1,30,1,3,41,1,3,32,2,3,38,1,3,34,1,2,30,1,3
4,17,11,6,6,4,2,2,3,27.375,0,0,1,22,1,3,0,0,3,0,0,3,0,0,3,21,1,2,37,1,3
2,17,17,0,6,6,0,2,3,31.66666667,45,1,1,30,1,3,30,1,3,30,1,3,35,1,3,30,1,2,30,1,3
0,17,2,15,6,1,5,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,17,0,6,6,0,1,1,34.44444444,45,1,1,40,1,3,30,1,3,30,1,3,30,1,3,40,1,2,35,1,3
3,17,14,3,6,5,1,2,3,28.66666667,3,1,1,30,1,3,0,0,3,0,0,3,0,0,3,36,2,2,31,1,3
2,17,17,0,6,6,0,2,3,33.88888889,45,1,1,35,1,3,34,1,3,34,3,3,32,1,3,35,2,2,30,1,3
2,17,17,0,6,6,0,1,1,35.77777778,45,1,1,50,1,3,30,1,3,32,2,3,31,2,3,40,1,2,30,1,3
2,17,17,0,6,6,0,2,3,30.33333333,45,1,1,30,2,3,32,1,3,25,4,3,25,3,3,30,1,2,35,1,3
1,17,17,0,6,6,0,1,1,43.05555556,42,1,1,50,1,3,40,1,3,49,1,3,40,1,3,38,1,2,40,1,3
2,17,17,0,6,6,0,1,1,36.83333333,45,1,1,50,1,3,35,1,3,31,2,3,30,2,3,45,1,2,30,1,3
1,17,17,0,6,6,0,1,1,33.61111111,40,1,1,30,1,3,30,1,3,31,2,3,34,1,3,35,2,2,40,1,3
2,17,0,17,2,0,6,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,17,0,6,6,0,1,1,35,45,1,1,50,1,3,30,1,3,30,1,3,35,1,3,30,1,2,30,1,3
0,17,17,0,6,6,0,1,1,34.55555556,45,1,1,40,1,3,30,1,3,34,4,3,30,1,3,35,1,2,35,1,3
0,17,2,15,1,1,5,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
2,17,17,0,6,6,0,2,3,33,45,1,1,44,1,3,30,1,3,25,3,3,34,1,3,30,2,2,30,1,3
4,17,17,0,6,6,0,2,3,36,44,1,1,30,1,3,39,1,3,37,3,3,34,1,3,41,1,2,34,1,3
3,17,17,0,6,6,0,2,3,34.27777778,37,2,1,39,1,3,31,1,3,31,1,3,37,1,3,32,2,2,34,1,3
0,17,17,0,6,6,0,1,1,34.77777778,35,1,1,50,1,3,30,1,3,30,1,3,37,2,3,30,1,2,30,1,3
2,17,17,0,6,6,0,1,1,30.55555556,40,1,1,30,1,3,30,1,3,30,1,3,30,1,3,30,1,2,30,1,3
3,17,17,0,6,6,0,1,1,31.72222222,30,1,1,35,1,3,30,1,3,31,2,3,31,1,3,35,1,2,30,1,3
3,17,11,6,4,4,2,2,3,30,0,2,1,0,0,3,0,0,3,0,0,3,0,0,3,30,1,2,0,0,3
3,17,17,0,6,6,0,2,3,34.27777778,30,1,1,34,2,3,32,1,3,31,2,3,34,1,3,40,1,2,38,1,3
0,17,17,0,6,6,0,1,1,34.44444444,45,1,1,35,1,3,30,1,3,30,2,3,40,1,3,40,1,2,30,1,3
3,17,8,9,4,3,3,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
3,17,17,0,6,6,0,2,3,34.55555556,34,1,1,32,1,3,38,2,3,34,2,3,33,1,3,39,1,2,33,1,3
4,17,17,0,6,6,0,2,3,34.38888889,37,1,1,40,1,3,30,1,3,37,2,3,33,1,3,36,1,2,30,2,3
3,17,17,0,6,6,0,2,3,33.38888889,40,1,1,30,1,3,31,1,3,30,3,3,34,1,3,33,1,2,40,1,3
1,17,17,0,6,6,0,1,1,35,40,1,1,40,1,3,30,1,3,30,1,3,35,1,3,40,1,2,35,1,3
2,17,0,17,2,0,6,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
2,17,17,0,6,6,0,1,1,33.83333333,35,1,1,32,1,3,36,1,3,34,2,3,34,1,3,35,1,2,32,1,3
0,17,2,15,3,1,5,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
2,17,17,0,6,6,0,2,3,34.38888889,40,1,1,34,1,3,35,1,3,40,3,3,30,2,3,36,1,2,30,1,3
0,17,17,0,6,6,0,1,1,36.72222222,46,1,1,43,3,3,34,1,3,35,1,3,30,1,3,42,2,2,35,1,3
0,17,17,0,6,6,0,1,1,35.27777778,40,1,1,50,1,3,30,1,3,30,1,3,30,1,3,35,1,2,35,1,3
