CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,ESTADO DOS,PROMEDIO_TRES,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_MULTI,VECES_MULTI,CREDITOS_MULTI,NOTA_ECUA,VECES_ECUA,CREDITOS_ECUA,NOTA_FOTO,VECES_FOTO,CREDITOS_FOTO,NOTA_SUELOS,VECES_SUELOS,CREDITOS_SUELOS
0,17,2,15,1,1,5,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,0,17,1,0,6,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,14,3,5,5,1,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
3,17,17,0,6,6,0,2,3,32.83333333,35,1,1,33,1,3,30,1,3,30,3,3,36,2,3,35,1,2,33,2,3
0,17,17,0,6,6,0,1,1,34.77777778,45,1,1,32,1,3,30,1,3,30,1,3,35,1,3,40,1,2,40,1,3
3,17,17,0,6,6,0,2,3,33.16666667,40,1,1,30,3,3,33,3,3,30,3,3,33,2,3,34,2,2,37,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
3,17,0,17,4,0,6,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
4,17,14,3,6,5,1,2,3,33.91666667,35,1,1,32,1,3,30,1,3,0,0,3,0,0,3,39,4,2,36,3,3
0,17,17,0,6,6,0,1,1,36.22222222,45,1,1,40,1,3,35,1,3,35,1,3,34,2,3,35,1,2,35,1,3
0,17,17,0,6,6,0,1,1,36.38888889,45,1,1,30,1,3,30,1,3,40,2,3,45,1,3,35,1,2,35,1,3
1,17,17,0,6,6,0,1,1,32.77777778,45,1,1,30,1,3,30,2,3,25,3,3,35,1,3,40,1,2,35,1,3
2,17,11,6,5,4,2,1,1,31.22222222,33,1,1,24,3,3,0,0,3,0,0,3,0,0,3,40,3,2,32,2,3
0,17,2,15,1,1,5,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,17,0,17,4,0,6,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,8,9,4,3,3,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
3,17,17,0,6,6,0,2,3,34.44444444,41,1,1,37,1,3,37,1,3,30,2,3,35,1,3,36,1,2,30,1,3
3,17,8,9,5,3,3,2,3,25.33333333,22,3,1,0,0,3,0,0,3,0,0,3,0,0,3,27,1,2,0,0,3
1,17,17,0,6,6,0,1,1,35.27777778,44,1,1,45,1,3,38,2,3,30,3,3,30,1,3,36,1,2,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
3,17,17,0,6,6,0,1,1,34.33333333,40,1,1,35,1,3,30,1,3,33,3,3,38,1,3,40,1,2,30,2,3
1,17,17,0,6,6,0,1,1,36.66666667,40,1,1,45,1,3,30,1,3,30,1,3,40,1,3,40,1,2,35,1,3
1,17,6,11,2,2,4,2,3,30,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,8,9,4,3,3,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
4,17,15,2,6,5,1,2,3,19,0,1,1,0,1,3,0,0,3,11,2,3,25,2,3,34,1,2,11,1,3
3,17,17,0,6,6,0,2,3,30.44444444,35,4,1,33,3,3,30,1,3,35,3,3,13,1,3,45,2,2,30,1,3
2,17,17,0,6,6,0,1,1,32.72222222,40,1,1,30,1,3,35,1,3,30,1,3,38,1,3,30,1,2,30,1,3
3,17,17,0,6,6,0,2,3,33.5,42,1,1,35,1,3,30,1,3,36,2,3,31,2,3,36,1,2,31,2,3
2,17,17,0,6,6,0,2,3,32.77777778,35,1,1,43,2,3,30,1,3,30,2,3,30,1,3,33,3,2,30,1,3
2,17,17,0,6,6,0,2,3,34.94444444,34,2,1,36,1,3,37,1,3,36,2,3,33,1,3,35,3,2,33,3,3
3,17,17,0,6,6,0,2,3,34.61111111,40,1,1,39,1,3,41,1,3,33,1,3,30,1,3,32,1,2,30,1,3
3,17,17,0,6,6,0,2,3,34,45,1,1,30,1,3,33,1,3,40,3,3,30,1,3,36,1,2,32,2,3
3,17,14,3,6,5,1,2,3,24.22222222,32,1,1,10,2,3,0,0,3,0,0,3,0,0,3,33,2,2,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,5,12,3,2,4,2,3,20.5,10,2,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,24,2,3
3,17,8,9,4,3,3,2,3,33,36,1,1,0,0,3,0,0,3,0,0,3,0,0,3,36,1,2,30,1,3
0,17,5,12,2,2,4,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,17,0,6,6,0,1,1,38.05555556,35,1,1,40,1,3,40,1,3,35,2,3,40,2,3,40,1,2,35,1,3
0,17,2,15,3,1,5,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,17,0,6,6,0,1,1,35.16666667,40,1,1,40,1,3,35,1,3,35,2,3,35,1,3,34,1,2,30,1,3
1,17,17,0,6,6,0,2,3,33.16666667,45,1,1,40,1,3,30,1,3,32,2,3,31,1,3,30,1,2,31,1,3
1,17,17,0,6,6,0,1,1,35.27777778,40,1,1,40,1,3,35,1,3,30,2,3,35,1,3,35,1,2,35,1,3
3,17,17,0,6,6,0,2,3,33.11111111,35,1,1,38,1,3,30,1,3,30,1,3,39,1,3,30,1,2,30,1,3
0,17,0,17,3,0,6,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
2,17,17,0,6,6,0,1,1,34.72222222,37,1,1,38,1,3,35,1,3,33,2,3,35,1,3,36,2,2,31,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,17,17,0,6,6,0,1,1,35.66666667,45,1,1,35,1,3,34,1,3,30,2,3,30,2,3,45,1,2,40,1,3
2,17,17,0,6,6,0,2,3,32.8,35,1,1,0,0,3,20,2,3,34,2,3,32,2,3,44,2,2,37,1,3
1,17,17,0,6,6,0,1,1,37.88888889,40,1,1,42,1,3,39,1,3,35,1,3,33,1,3,45,1,2,35,1,3
2,17,17,0,6,6,0,2,3,35.5,30,1,1,44,1,3,32,1,3,35,2,3,36,1,3,39,1,2,30,1,3
2,17,17,0,6,6,0,1,1,33.27777778,41,2,1,40,1,3,30,1,3,30,1,3,31,1,3,30,1,2,35,1,3
4,17,11,6,6,4,2,2,3,28.5,0,0,1,11,1,3,0,0,3,0,0,3,0,0,3,36,2,2,41,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,17,0,6,6,0,1,1,36.05555556,31,1,1,40,1,3,31,1,3,30,1,3,46,2,3,30,1,2,39,1,3
2,17,17,0,6,6,0,2,3,35.94444444,30,1,1,37,1,3,39,1,3,33,1,3,39,1,3,34,1,2,35,1,3
0,17,17,0,6,6,0,1,1,38.55555556,40,1,1,43,1,3,35,1,3,35,1,3,35,2,3,45,1,2,40,1,3
1,17,17,0,6,6,0,1,1,34.11111111,35,1,1,38,1,3,38,1,3,30,1,3,32,1,3,30,1,2,35,1,3
1,17,17,0,6,6,0,1,1,39.5,45,1,1,50,1,3,38,1,3,35,1,3,36,1,3,39,1,2,37,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
3,17,8,9,6,3,3,2,3,22.75,40,1,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,17,2,3
0,17,17,0,6,6,0,1,1,36.16666667,45,1,1,41,1,3,35,1,3,35,1,3,32,1,3,36,1,2,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,17,17,0,6,6,0,1,1,39.94444444,45,1,1,50,1,3,41,1,3,30,1,3,37,1,3,40,1,2,40,1,3
2,17,17,0,6,6,0,1,1,37.5,45,1,1,44,1,3,37,1,3,32,2,3,33,2,3,30,1,2,44,1,3
3,17,17,0,6,6,0,2,3,31,30,1,1,30,1,3,30,1,3,30,2,3,33,1,3,33,1,2,31,1,3
0,17,17,0,6,6,0,1,1,34.88888889,30,1,1,43,1,3,30,1,3,34,2,3,37,2,3,38,1,2,30,1,3
0,17,2,15,1,1,5,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,8,9,6,3,3,2,3,16.71428571,30,1,1,5,1,3,0,0,3,0,0,3,0,0,3,0,0,2,24,3,3
3,17,17,0,6,6,0,2,3,34,35,1,1,43,1,3,30,1,3,30,1,3,38,2,3,32,1,2,30,1,3
1,17,17,0,6,6,0,1,1,35.83333333,40,1,1,43,1,3,40,1,3,30,2,3,30,2,3,40,1,2,32,1,3
2,17,17,0,6,6,0,2,3,34.83333333,45,1,1,36,2,3,37,2,3,30,1,3,36,2,3,30,1,2,35,2,3
3,17,17,0,6,6,0,1,1,35.77777778,30,1,1,36,1,3,31,1,3,31,1,3,38,1,3,40,1,2,42,2,3
2,17,17,0,6,6,0,1,1,37.27777778,45,1,1,45,1,3,35,1,3,32,3,3,40,2,3,40,1,2,30,1,3
3,17,17,0,6,6,0,1,1,39.66666667,39,1,1,50,1,3,40,1,3,30,1,3,40,1,3,45,1,2,35,1,3
2,17,17,0,6,6,0,1,1,38,43,1,1,50,1,3,33,1,3,32,2,3,36,1,3,34,1,2,40,1,3
1,17,17,0,6,6,0,1,1,37.38888889,40,1,1,42,1,3,30,1,3,30,1,3,44,1,3,45,1,2,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,17,0,6,6,0,1,1,38.77777778,45,1,1,35,1,3,44,1,3,36,2,3,39,1,3,43,1,2,35,1,3
1,17,17,0,6,6,0,1,1,33.38888889,40,1,1,43,1,3,30,2,3,30,2,3,30,1,3,33,1,2,32,1,3
2,17,17,0,6,6,0,1,1,35.38888889,35,1,1,45,1,3,36,1,3,30,1,3,30,1,3,40,1,2,33,1,3
2,17,17,0,6,6,0,1,1,32.27777778,30,1,1,33,1,3,35,1,3,35,2,3,30,2,3,31,1,2,30,1,3
4,17,17,0,6,6,0,2,3,34,33,1,1,40,1,3,33,1,3,31,1,3,38,1,3,30,1,2,31,1,3
1,17,17,0,6,6,0,1,1,35.5,35,1,1,45,1,3,30,1,3,38,1,3,35,1,3,35,1,2,30,1,3
0,17,3,14,4,1,5,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
2,17,17,0,6,6,0,1,1,35.05555556,30,1,1,31,1,3,33,1,3,38,1,3,36,1,3,41,1,2,35,1,3
2,17,17,0,6,6,0,1,1,35.05555556,31,1,1,45,1,3,39,1,3,30,2,3,30,1,3,39,1,2,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
3,17,11,6,6,4,2,2,3,21.625,0,0,1,25,2,3,0,0,3,0,0,3,0,0,3,19,3,2,20,2,3
0,17,14,3,6,5,1,2,3,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,17,0,6,6,0,1,1,36.5,40,1,1,45,1,3,37,1,3,30,2,3,37,1,3,40,1,2,30,1,3
1,17,17,0,6,6,0,1,1,34.66666667,40,1,1,40,1,3,30,1,3,31,2,3,37,1,3,40,1,2,30,1,3
4,17,8,9,6,3,3,2,3,22.4,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,20,1,2,24,2,3
0,17,17,0,6,6,0,1,1,31.33333333,45,1,1,30,1,3,33,1,3,30,1,3,30,1,3,30,1,2,30,1,3
1,17,17,0,6,6,0,1,1,34.16666667,30,2,1,41,2,3,39,3,3,33,2,3,31,2,3,30,2,2,31,1,3
3,17,17,0,6,6,0,1,1,36.05555556,50,1,1,37,1,3,32,1,3,34,1,3,33,1,3,43,1,2,35,1,3
2,17,17,0,6,6,0,2,3,34.27777778,44,1,1,31,1,3,34,3,3,30,2,3,37,2,3,30,1,2,39,1,3
1,17,17,0,6,6,0,1,1,34.22222222,45,1,1,40,1,3,30,1,3,30,2,3,32,1,3,35,1,2,35,1,3
4,17,17,0,6,6,0,1,1,36.55555556,34,1,1,50,1,3,38,1,3,32,1,3,34,1,3,36,1,2,30,1,3
1,17,5,12,3,2,4,2,3,20.83333333,33,1,1,0,0,3,0,0,3,0,0,3,0,0,3,4,1,2,28,1,3
0,17,17,0,6,6,0,1,1,33.44444444,30,1,1,35,1,3,30,1,3,30,1,3,39,1,3,40,1,2,30,1,3
2,17,17,0,6,6,0,2,3,35.94444444,45,1,1,39,2,3,32,1,3,43,3,3,34,1,3,34,1,2,30,1,3
2,17,17,0,6,6,0,1,1,37.38888889,40,1,1,39,1,3,35,1,3,32,1,3,42,1,3,42,1,2,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,17,0,6,6,0,1,1,37.05555556,50,1,1,42,1,3,33,1,3,35,3,3,40,1,3,31,2,2,35,1,3
1,17,17,0,6,6,0,1,1,34.55555556,35,1,1,34,1,3,32,1,3,35,3,3,30,1,3,40,1,2,38,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
0,17,17,0,6,6,0,1,1,38.61111111,50,1,1,50,1,3,30,1,3,36,1,3,45,1,3,36,1,2,30,1,3
0,17,17,0,6,6,0,1,1,37.77777778,45,1,1,43,1,3,35,1,3,35,1,3,37,1,3,40,1,2,35,1,3
3,17,17,0,6,6,0,2,3,34.55555556,30,1,1,40,1,3,33,1,3,30,1,3,36,1,3,32,1,2,37,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,17,0,6,6,0,1,1,35.33333333,40,1,1,38,1,3,30,1,3,37,2,3,36,2,3,34,1,2,35,1,3
4,17,17,0,6,6,0,2,3,34,40,1,1,34,2,3,30,1,3,37,2,3,37,2,3,34,2,2,30,2,3
0,17,17,0,6,6,0,1,1,39,40,1,1,45,1,3,35,1,3,40,1,3,39,1,3,40,1,2,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3
1,17,17,0,6,6,0,1,1,35.38888889,35,1,1,35,1,3,35,1,3,31,1,3,38,2,3,40,1,2,35,1,3
2,17,17,0,6,6,0,1,1,33.61111111,31,1,1,30,1,3,33,1,3,38,1,3,31,1,3,35,1,2,36,1,3
