METRICA|VALOR|MODELO|TIPO_DE_DATOS
Mejores Hiperparametros|Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 200, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}, Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0005, 'n_estimators': 1, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 9, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 2, 'splitter': 'random'}|VotingSoft|Hiperparametros del modelo
Precision|49.39|StackingLineal|Prueba
Exhaustividad|62.05|StackingLineal|Prueba
Puntuacion F1|51.51|StackingLineal|Prueba
Exactitud|62.05|StackingLineal|Prueba
Informacion Mutua Normalizada (NMI)|0.41|StackingLineal|Prueba
Indice Kappa de Cohen|0.7|StackingLineal|Prueba
Precision|74.85|StackingLineal|Entrenamiento
Exhaustividad|77.79|StackingLineal|Entrenamiento
Puntuacion F1|73.04|StackingLineal|Entrenamiento
Exactitud|77.79|StackingLineal|Entrenamiento
Informacion Mutua Normalizada (NMI)|30.77|StackingLineal|Entrenamiento
Indice Kappa de Cohen|45.82|StackingLineal|Entrenamiento
Mejores Hiperparametros|Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0005, 'n_estimators': 1, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 9, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 2, 'splitter': 'random'}|StackingLineal|Hiperparametros del modelo
Precision|50.61|Stackingnolineal|Prueba
Exhaustividad|62.22|Stackingnolineal|Prueba
Puntuacion F1|52.27|Stackingnolineal|Prueba
Exactitud|62.22|Stackingnolineal|Prueba
Informacion Mutua Normalizada (NMI)|0.55|Stackingnolineal|Prueba
Indice Kappa de Cohen|1.95|Stackingnolineal|Prueba
Precision|77.18|Stackingnolineal|Entrenamiento
Exhaustividad|82.54|Stackingnolineal|Entrenamiento
Puntuacion F1|78.69|Stackingnolineal|Entrenamiento
Exactitud|82.54|Stackingnolineal|Entrenamiento
Informacion Mutua Normalizada (NMI)|41.13|Stackingnolineal|Entrenamiento
Indice Kappa de Cohen|59.66|Stackingnolineal|Entrenamiento
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 9, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 6, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 2, 'splitter': 'random'}|Stackingnolineal|Hiperparametros del modelo
Precision|45.61|VotingWeighted|Prueba
Exhaustividad|62.74|VotingWeighted|Prueba
Puntuacion F1|49.81|VotingWeighted|Prueba
Exactitud|62.74|VotingWeighted|Prueba
Informacion Mutua Normalizada (NMI)|0.94|VotingWeighted|Prueba
Indice Kappa de Cohen|-0.96|VotingWeighted|Prueba
Precision|76.93|VotingWeighted|Entrenamiento
Exhaustividad|69.91|VotingWeighted|Entrenamiento
Puntuacion F1|61.73|VotingWeighted|Entrenamiento
Exactitud|69.91|VotingWeighted|Entrenamiento
Informacion Mutua Normalizada (NMI)|15.45|VotingWeighted|Entrenamiento
Indice Kappa de Cohen|21.0|VotingWeighted|Entrenamiento
Precision|52.67|SuperAprendiz|Prueba
Exhaustividad|63.43|SuperAprendiz|Prueba
Puntuacion F1|52.82|SuperAprendiz|Prueba
Exactitud|63.43|SuperAprendiz|Prueba
Informacion Mutua Normalizada (NMI)|0.73|SuperAprendiz|Prueba
Indice Kappa de Cohen|3.85|SuperAprendiz|Prueba
Precision|78.41|SuperAprendiz|Entrenamiento
