METRICA|VALOR|MODELO|TIPO_DE_DATOS
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 7, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.75, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 4, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 3, 'splitter': 'best'}|Stackingnolineal|Hiperparametros del modelo
Precision|82.02|VotingWeighted|Prueba
Exhaustividad|83.92|VotingWeighted|Prueba
Puntuacion F1|81.75|VotingWeighted|Prueba
Exactitud|83.92|VotingWeighted|Prueba
Informacion Mutua Normalizada (NMI)|59.71|VotingWeighted|Prueba
Indice Kappa de Cohen|73.31|VotingWeighted|Prueba
Precision|93.63|VotingWeighted|Entrenamiento
Exhaustividad|93.41|VotingWeighted|Entrenamiento
Puntuacion F1|93.25|VotingWeighted|Entrenamiento
Exactitud|93.41|VotingWeighted|Entrenamiento
Informacion Mutua Normalizada (NMI)|81.79|VotingWeighted|Entrenamiento
Indice Kappa de Cohen|89.63|VotingWeighted|Entrenamiento
Precision|84.54|SuperAprendiz|Prueba
Exhaustividad|85.55|SuperAprendiz|Prueba
Puntuacion F1|83.23|SuperAprendiz|Prueba
