NOTA_SEGUNDA_LENGUA_TRES,VECES_SEGUNDA_LENGUA_TRES,CREDITOS_SEGUNDA_LENGUA_TRES,NOTA_HOMBRE,VECES_HOMBRE,CREDITOS_HOMBRE,NOTA_GT_DOS,VECES_GT_DOS,CREDITOS_GT_DOS,NOTA_MAT_ESP,VECES_MAT_ESP,CREDITOS_MAT_ESP,NOTA_MOD_PROG_UNO,VECES_MOD_PROG_UNO,CREDITOS_MOD_PROG_UNO,NOTA_A_SISTEMAS,VECES_A_SISTEMAS,CREDITOS_A_SISTEMAS,NOTA_METODOS_NUM,VECES_METODOS_NUM,CREDITOS_METODOS_NUM,NOTA_FUND_BASES,VECES_FUND_BASES,CREDITOS_FUND_BASES,NOTA_MAT_DIS,VECES_MAT_DIS,CREDITOS_MAT_DIS,CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,2,46,1,1,50,1,1,40,1,3,43,1,3,41,1,2,40,1,1,37,1,2,40,1,3,0,18,18,0,9,9,0,1,40.15789474
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,2,44,1,1,50,1,1,41,1,3,44,1,3,41,1,2,45,1,1,38,1,2,44,1,3,0,18,18,0,9,9,0,1,39.84210526
41,1,2,47,1,1,50,1,1,34,1,3,19,2,3,30,1,2,42,1,1,47,1,2,24.5,2,3,2,24,12,12,11,7,4,2,25.38
42,1,2,42,1,1,0,0,0,0,0,0,47,1,3,31,1,2,27,2,1,46,1,2,33,1,3,1,15,13,2,8,6,2,1,24
43,1,2,43,1,1,50,1,1,43,1,3,47,1,3,40,1,2,45,1,1,47,1,2,43,1,3,0,18,18,0,9,9,0,1,41.26315789
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,2,30,1,1,0,0,0,0,0,0,0,3,3,0,2,2,0,1,4
0,0,0,0,0,0,0,0,0,0,0,0,36,1,3,40,1,2,39,1,1,37,1,2,37,1,3,0,11,11,0,5,5,0,1,18.09090909
39,1,2,43,1,1,50,1,1,36,1,3,41,1,3,38,1,2,35,1,1,35,1,2,34,1,3,0,18,18,0,9,9,0,1,26.66
39,1,2,42,1,1,50,1,1,30,1,3,29.33333333,3,3,42,1,2,30,1,1,22.33333333,3,2,16,3,3,6,34,10,24,15,6,9,2,13.15384615
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,2,1,0,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,2,43,1,1,50,1,1,24.5,2,3,48,1,3,35,1,2,35,1,1,45,1,2,37,1,3,1,21,15,6,10,8,2,1,40.63157895
49,1,2,44,1,1,50,1,1,33,1,3,35,1,3,39,1,2,30,1,1,44,1,2,34,1,3,0,18,18,0,9,9,0,1,26.62
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,2,40,1,1,50,1,1,30,1,3,37,1,3,38,1,2,40,1,1,39,1,2,36,1,3,0,18,18,0,9,9,0,1,36.73684211
0,1,2,0,0,0,0,0,0,0,0,0,30,1,3,37,1,2,42,1,1,0,0,0,0,0,0,0,8,6,2,4,3,1,2,5.035714286
42,1,2,40,1,1,50,1,1,34,1,3,30,1,3,46,1,2,35,1,1,30,1,2,34,1,3,0,18,18,0,9,9,0,1,32.65909091
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,2,30,1,1,0,0,0,0,0,0,0,3,3,0,2,2,0,1,0
44,1,2,44,1,1,50,1,1,33,1,3,42,1,3,39,1,2,40,1,1,38,1,2,40,1,3,0,18,18,0,9,9,0,1,37.57894737
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,2,45,1,1,50,1,1,30,1,3,44,1,3,33,1,2,35,1,1,40,1,2,30,1,3,0,18,18,0,9,9,0,1,37.89473684
0,0,0,0,0,0,50,1,1,0,0,0,37,1,3,37,1,2,32,1,1,31,1,2,17,2,3,1,15,9,6,7,5,2,2,13.66666667
41,1,2,50,1,1,50,1,1,26.33333333,3,3,46,1,3,43,1,2,35,1,1,31,1,2,33,1,3,2,24,15,9,11,8,3,2,37.68421053
42,1,2,40,1,1,50,1,1,27.5,2,3,35,1,3,44,1,2,40,1,1,38,1,2,37,1,3,1,21,15,6,10,8,2,1,32.22727273
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,4,0,4,2,0,2,2,0
39,1,2,40,1,1,50,1,1,29,2,3,40,1,3,37,1,2,39,1,1,30,1,2,34,1,3,1,21,15,6,10,8,2,2,33.0952381
44,1,2,42,1,1,50,1,1,45,1,3,33,1,3,43,1,2,35,1,1,35,1,2,32,1,3,0,18,18,0,9,9,0,1,33.65909091
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,2,39,1,1,50,1,1,33,1,3,47,1,3,40,1,2,35,1,1,32,1,2,41,1,3,0,18,18,0,9,9,0,1,38.36842105
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,2,44,1,1,50,1,1,30,1,3,36,1,3,37,1,2,30,1,1,35,1,2,36,1,3,0,18,18,0,9,9,0,1,30.18181818
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,38,1,3,31,1,2,41,1,1,0,0,0,19,1,3,0,9,6,3,4,3,1,2,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,2,42,1,1,0,0,0,11.33333333,3,3,2,12,3,9,5,2,3,2,36.2
44,1,2,0,0,0,50,1,1,30,1,3,38,1,3,0,0,0,35,1,1,33,1,2,31,1,3,0,15,15,0,7,7,0,1,38.25
0,0,0,0,0,0,0,0,0,0,0,0,38,1,3,30,1,2,39,1,1,0,0,0,0,0,0,0,6,6,0,3,3,0,1,13.90909091
40,1,2,34,1,1,50,1,1,32,1,3,21.5,2,3,36,1,2,30,1,1,37,1,2,31,1,3,1,21,15,6,10,8,2,2,36.26315789
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,2,35,1,1,50,1,1,21.5,2,3,30,1,3,15.33333333,3,2,15,2,1,37,2,2,28,2,3,6,31,9,22,15,5,10,2,29.72727273
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
47,1,2,39,1,1,41,1,1,30,1,3,29.66666667,3,3,27.5,2,2,41,1,1,31,1,2,30,2,3,4,29,13,16,13,7,6,2,30.93181818
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,2,42,1,1,50,1,1,31,1,3,41,1,3,31,1,2,34,1,1,42,1,2,38,1,3,0,18,18,0,9,9,0,1,33.09090909
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0
47,1,2,41,1,1,50,1,1,33,1,3,41,1,3,32,1,2,36,1,1,45,1,2,43,1,3,0,18,18,0,9,9,0,1,39.78947368
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,1,17,1,2,0,0,0,0,3,1,2,2,1,1,2,0
45,1,2,42,1,1,50,1,1,32,1,3,49,1,3,34,1,2,41,1,1,39,1,2,38,1,3,0,18,18,0,9,9,0,1,33.28571429
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
