CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,PROMEDIO_DOS,NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA
0,17,17,0,7,7,0,1,28.40909091,35,1,4,30,1,3,35,1,1,45,1,2,50,1,1,35,1,3,40,1,3
0,17,17,0,7,7,0,1,32.10526316,45,1,4,40,1,3,45,1,1,45,1,2,50,1,1,45,1,3,30,1,3
0,17,14,3,7,6,1,1,0,40,1,4,30,1,3,45,1,1,35,1,2,50,1,1,15,1,3,30,1,3
0,17,17,0,7,7,0,1,21,30,1,4,35,1,3,40,1,1,30,1,2,50,1,1,30,1,3,35,1,3
2,24,17,7,9,7,2,2,30,35,2,4,40,1,3,35,1,1,40,1,2,50,1,1,40,1,3,30,2,3
2,24,17,7,9,7,2,2,10.5,30,2,4,30,1,3,45,1,1,35,1,2,50,1,1,30,2,3,30,1,3
2,24,10,14,9,5,4,2,15,20,2,4,35,1,3,40,1,1,30,1,2,50,1,1,45,1,3,25,2,3
1,21,17,4,8,7,1,1,33.94736842,40,2,4,30,1,3,45,1,1,40,1,2,50,1,1,35,1,3,35,1,3
2,31,10,21,11,5,6,2,26.92307692,20,3,4,35,1,3,40,1,1,40,1,2,50,1,1,45,1,3,20,3,3
2,28,17,11,10,7,3,2,12.72972973,30,3,4,40,1,3,45,1,1,30,1,2,50,1,1,30,1,3,30,2,3
0,17,17,0,7,7,0,1,26.59090909,30,1,4,35,1,3,40,1,1,45,1,2,50,1,1,30,1,3,30,1,3
0,17,10,7,7,5,2,1,0,20,1,4,25,1,3,40,1,1,45,1,2,50,1,1,30,1,3,30,1,3
0,17,17,0,7,7,0,1,18.31034483,30,1,4,45,1,3,45,1,1,45,1,2,50,1,1,30,1,3,40,1,3
0,17,17,0,7,7,0,1,31.57894737,35,1,4,40,1,3,40,1,1,45,1,2,50,1,1,45,1,3,35,1,3
0,17,16,1,7,6,1,1,29.72222222,35,1,4,40,1,3,25,1,1,35,1,2,50,1,1,40,1,3,35,1,3
1,20,14,6,8,6,2,2,17,30,1,4,20,2,3,40,1,1,40,1,2,50,1,1,35,1,3,35,1,3
0,17,17,0,7,7,0,1,26.36363636,30,1,4,30,1,3,45,1,1,45,1,2,50,1,1,35,1,3,40,1,3
0,17,17,0,7,7,0,1,39.6875,40,1,4,40,1,3,50,1,1,45,1,2,50,1,1,45,1,3,40,1,3
0,17,5,12,7,3,4,2,0,15,1,4,15,1,3,30,1,1,25,1,2,50,1,1,40,1,3,15,1,3
0,17,17,0,7,7,0,1,24.77272727,35,1,4,30,1,3,40,1,1,40,1,2,50,1,1,45,1,3,35,1,3
0,17,17,0,7,7,0,1,31.05263158,35,1,4,45,1,3,50,1,1,35,1,2,50,1,1,35,1,3,35,1,3
0,17,1,16,7,1,6,2,0,15,1,4,15,1,3,25,1,1,25,1,2,50,1,1,15,1,3,15,1,3
0,17,17,0,7,7,0,1,31.05263158,30,1,4,40,1,3,50,1,1,40,1,2,50,1,1,45,1,3,35,1,3
2,24,17,7,9,7,2,2,17.90322581,35,2,4,45,2,3,40,1,1,40,1,2,50,1,1,30,1,3,30,1,3
1,21,17,4,8,7,1,1,31.05263158,35,2,4,30,1,3,45,1,1,45,1,2,50,1,1,45,1,3,30,1,3
0,17,11,6,7,5,2,2,0,30,1,4,35,1,3,35,1,1,30,1,2,50,1,1,20,1,3,15,1,3
0,17,17,0,7,7,0,1,38.8125,35,1,4,35,1,3,40,1,1,40,1,2,50,1,1,45,1,3,35,1,3
2,28,17,11,10,7,3,2,13.15,30,3,4,40,1,3,35,1,1,45,1,2,50,1,1,40,1,3,30,2,3
0,17,17,0,7,7,0,1,30.73684211,35,1,4,30,1,3,40,1,1,40,1,2,50,1,1,30,1,3,30,1,3
0,17,17,0,7,7,0,1,37.5,40,1,4,40,1,3,40,1,1,45,1,2,50,1,1,45,1,3,40,1,3
1,23,17,6,9,7,2,2,24.76,36,1,4,44,1,3,38,1,1,34,1,2,50,1,1,35,3,3,30,1,3
0,17,17,0,7,7,0,1,25.68181818,30,1,4,35,1,3,40,1,1,35,1,2,50,1,1,45,1,3,30,1,3
3,34,10,24,12,5,7,2,38.33333333,20,3,4,35,1,3,50,1,1,30,1,2,50,1,1,30,2,3,25,3,3
0,17,17,0,7,7,0,1,30.68421053,30,1,4,30,1,3,40,1,1,40,1,2,50,1,1,40,1,3,30,1,3
0,17,17,0,7,7,0,1,25.2,35,1,4,45,1,3,50,1,1,40,1,2,50,1,1,35,1,3,35,1,3
4,30,17,13,11,7,4,2,20.17857143,30,2,4,40,2,3,35,1,1,35,1,2,50,1,1,30,2,3,30,2,3
0,17,17,0,7,7,0,1,37.8125,45,1,4,50,1,3,50,1,1,45,1,2,50,1,1,40,1,3,45,1,3
2,24,17,7,9,7,2,2,13.94594595,30,2,4,30,2,3,35,1,1,35,1,2,50,1,1,40,1,3,30,1,3
0,17,17,0,7,7,0,1,29.73684211,35,1,4,40,1,3,45,1,1,50,1,2,50,1,1,50,1,3,35,1,3
0,17,17,0,7,7,0,1,36.0625,35,1,4,35,1,3,40,1,1,45,1,2,50,1,1,45,1,3,35,1,3
1,29,14,15,11,6,5,2,6.7,30,1,4,40,1,3,50,1,1,35,1,2,50,1,1,30,1,3,20,5,3
0,17,17,0,7,7,0,1,30.73684211,35,1,4,30,1,3,45,1,1,40,1,2,50,1,1,40,1,3,30,1,3
0,17,17,0,7,7,0,1,19.83870968,30,1,4,30,1,3,40,1,1,40,1,2,50,1,1,30,1,3,30,1,3
3,35,17,18,12,7,5,2,25.15789474,35,4,4,40,2,3,35,1,1,40,1,2,50,1,1,30,2,3,35,1,3
1,20,17,3,8,7,1,1,17.85714286,30,1,4,30,1,3,40,1,1,40,1,2,50,1,1,30,2,3,45,1,3
3,58,14,44,19,6,13,2,7.571428571,30,6,4,32,6,3,35,1,1,30,1,2,50,1,1,40,1,3,25,3,3
0,17,17,0,7,7,0,1,26.59090909,35,1,4,35,1,3,45,1,1,45,1,2,50,1,1,40,1,3,45,1,3
6,40,11,29,15,5,10,2,0,15,3,4,35,2,3,35,2,1,15,2,2,50,1,1,45,3,3,30,2,3
1,21,17,4,8,7,1,1,33.4375,35,2,4,35,1,3,50,1,1,45,1,2,50,1,1,30,1,3,35,1,3
2,20,17,3,9,7,2,1,33.875,35,1,4,45,1,3,40,2,1,30,2,2,50,1,1,35,1,3,35,1,3
5,38,14,24,15,6,9,2,10,30,2,4,30,1,3,30,2,1,30,3,2,50,1,1,32,3,3,25,3,3
2,27,17,10,10,7,3,2,21.08695652,30,2,4,40,1,3,35,1,1,45,1,2,50,1,1,40,3,3,30,1,3
3,27,5,22,10,3,7,2,15,25,2,4,40,1,3,40,1,1,25,1,2,50,1,1,15,2,3,20,2,3
2,23,17,6,9,7,2,2,24,30,1,4,40,1,3,40,1,1,50,1,2,50,1,1,35,2,3,30,2,3
1,23,17,6,9,7,2,2,19.80769231,30,1,4,40,1,3,35,1,1,40,1,2,50,1,1,30,1,3,30,3,3
1,20,17,3,8,7,1,2,28.18181818,30,1,4,30,1,3,30,1,1,50,1,2,50,1,1,35,2,3,30,1,3
1,20,17,3,8,7,1,1,18.57142857,35,1,4,45,1,3,50,1,1,30,1,2,50,1,1,40,2,3,35,1,3
0,17,1,16,7,1,6,2,0,15,1,4,20,1,3,20,1,1,15,1,2,50,1,1,15,1,3,20,1,3
3,27,17,10,10,7,3,2,11.18604651,30,2,4,40,1,3,50,1,1,45,1,2,50,1,1,30,2,3,30,2,3
1,26,17,9,10,7,3,2,23.73913043,30,1,4,45,1,3,30,1,1,35,1,2,50,1,1,35,4,3,40,1,3
0,17,17,0,7,7,0,1,22,30,1,4,40,1,3,45,1,1,45,1,2,50,1,1,30,1,3,30,1,3
4,29,4,25,11,2,9,2,15,15,2,4,15,2,3,25,1,1,25,2,2,50,1,1,45,1,3,15,2,3
3,27,17,10,10,7,3,2,7.2,30,2,4,40,1,3,30,1,1,40,1,2,50,1,1,30,2,3,30,2,3
1,21,17,4,8,7,1,2,22.6,30,2,4,40,1,3,40,1,1,50,1,2,50,1,1,30,1,3,30,1,3
2,24,17,7,9,7,2,2,22.4,35,2,4,40,1,3,40,1,1,50,1,2,50,1,1,35,2,3,30,1,3
