CAR_DIEZ,NCC_DIEZ,NCA_DIEZ,NCP_DIEZ,NAC_DIEZ,NAA_DIEZ,NAP_DIEZ,EPA_DIEZ,SEMESTRES_CURSADOS,NOTA_EI_IB,VECES_EI_IB,CREDITOS_EI_IB,NOTA_EI_IIB,VECES_EI_IIB,CREDITOS_EI_IIB,NOTA_EI_IIIB,VECES_EI_IIIB,CREDITOS_EI_IIIB,NOTA_EE_CUATRO,VECES_EE_CUATRO,CREDITOS_EE_CUATRO,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_ELEC_IND,VECES_ELEC_IND,CREDITOS_ELEC_IND,NOTA_TGDOS,VECES_TGDOS,CREDITOS_TGDOS
1,18,14,4,5,4,1,1,13,38,3,3,47,0,3,45,1,3,0,1,1,46,1,2,45,1,3,0,0,3
0,18,8,10,3,3,0,2,11,38,1,3,0,1,3,0,1,3,0,1,1,44,1,2,41,1,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
2,18,15,3,6,4,2,1,12,32,2,3,40,0,3,37,2,3,45,1,1,42,1,2,46,1,3,0,0,3
2,18,14,4,5,3,2,1,10,49,2,3,49,0,3,40,2,3,0,1,1,48,1,2,41,1,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,12,40,5,3,30.3,0,3,47,1,3,0,1,1,43,1,2,42,1,3,0,0,3
0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
2,18,14,4,5,3,2,1,12,38,4,3,37,0,3,45,2,3,0,1,1,46,1,2,43,1,3,0,0,3
0,18,14,4,5,5,0,1,11,34,1,3,40,1,3,49,1,3,0,1,1,45,1,2,46,1,3,0,0,3
0,0,0,0,0,0,0,0,11,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,8,10,4,3,1,2,14,37,3,3,30,0,3,17,1,3,0,1,1,43,1,2,0,0,3,0,0,3
1,18,15,3,6,5,1,1,15,44,2,3,50,1,3,43,0,3,50,1,1,44,1,2,41,1,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,13,31,1,3,46,2,3,42,1,3,0,1,1,39,1,2,44,1,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,11,7,4,3,1,1,13,45,2,3,46,0,3,0,1,3,0,1,1,43,1,2,47,1,3,0,0,3
0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,18,8,10,3,3,0,2,12,47,1,3,0,1,3,0,0,3,0,1,1,46,1,2,45,1,3,0,0,3
1,18,11,7,4,3,1,2,15,38,1,3,42,2,3,0,0,3,0,1,1,44,1,2,47,1,3,0,0,3
1,18,14,4,5,4,1,1,10,40,3,3,41,0,3,35,1,3,0,1,1,45,1,2,46,1,3,0,0,3
0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
2,18,11,7,5,3,2,1,13,44,3,3,38,0,3,41,0,3,0,1,1,45,1,2,24.5,2,3,0,0,3
1,18,14,4,5,4,1,1,11,40,2,3,47,1,3,40,1,3,0,1,1,43,1,2,45,1,3,0,0,3
0,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,18,8,10,3,3,0,2,12,44,1,3,0,1,3,0,0,3,0,1,1,42,1,2,39,1,3,0,0,3
2,18,14,4,5,3,2,1,11,30,2,3,35,0,3,38,2,3,0,1,1,41,1,2,44,1,3,0,0,3
1,18,14,4,5,4,1,1,11,41,1,3,38,1,3,33,2,3,0,1,1,42,1,2,42,1,3,0,0,3
0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
2,18,14,4,5,3,2,1,13,35,2,3,45,0,3,41,2,3,0,1,1,44,1,2,37,1,3,0,0,3
0,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,18,11,7,5,5,0,1,15,21,1,3,37,1,3,41,1,3,0,1,1,43,1,2,41,1,3,0,0,3
0,0,0,0,0,0,0,0,11,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
2,18,15,3,6,4,2,1,10,48,2,3,38,0,3,40,2,3,50,1,1,41,1,2,41,1,3,0,0,3
2,18,11,7,5,3,2,1,15,41,2,3,21.5,1,3,46,3,3,0,1,1,44,1,2,48,1,3,0,0,3
2,18,14,4,5,3,2,1,12,35,2,3,41,0,3,40,2,3,0,1,1,38,1,2,50,1,3,0,0,3
1,18,14,4,5,4,1,1,12,35,3,3,35,0,3,45,1,3,0,1,1,47,1,2,33,1,3,0,0,3
0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,12,40,2,3,46,0,3,39,1,3,0,1,1,42,1,2,50,1,3,0,0,3
2,18,11,7,5,3,2,1,14,42,2,3,32,1,3,45,0,3,0,1,1,49,1,2,23,3,3,0,0,3
0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,18,2,16,1,1,0,2,15,0,0,3,0,0,3,0,0,3,0,1,1,43,1,2,0,0,3,0,0,3
2,18,14,4,5,3,2,1,12,30,2,3,46,0,3,40,2,3,0,1,1,43,1,2,50,1,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,12,6,6,5,1,1,15,41,3,3,28,0,3,50,1,3,50,1,1,38,1,2,36,1,3,0,0,3
0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
2,18,14,4,5,3,2,1,12,38,4,3,32,0,3,46,2,3,0,1,1,46,1,2,43,1,3,0,0,3
0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
2,18,14,4,5,3,2,1,10,40,2,3,37,0,3,40,2,3,0,1,1,46,1,2,46,1,3,0,0,3
0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,11,39,3,3,30,0,3,43,1,3,0,1,1,44,1,2,45,1,3,0,0,3
0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,13,37,2,3,36,1,3,34,1,3,0,1,1,45,1,2,48,1,3,0,0,3
1,18,14,4,5,4,1,1,10,39,3,3,36,0,3,45,1,3,0,1,1,49,1,2,37,1,3,0,0,3
1,18,14,4,5,4,1,1,12,44,3,3,35,0,3,47,1,3,0,1,1,42,1,2,33,1,3,0,0,3
2,18,14,4,5,3,2,1,13,39,3,3,46,0,3,37,1,3,0,1,1,32.5,2,2,41,1,3,0,0,3
0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,15,45,2,3,32,1,3,43,0,3,0,1,1,41,1,2,46,1,3,0,0,3
0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,8,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
2,18,11,7,5,3,2,2,15,33,2,3,28.5,2,3,34,1,3,0,1,1,43,1,2,39,1,3,0,0,3
0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,15,45,2,3,37,1,3,41,0,3,0,1,1,45,1,2,35,1,3,0,0,3
2,18,11,7,5,3,2,1,14,35,3,3,27.5,0,3,43,2,3,0,1,1,44,1,2,38,1,3,0,0,3
2,18,11,7,5,3,2,1,15,40,2,3,35,1,3,42,0,3,0,1,1,43,1,2,23.5,2,3,0,0,3
1,18,14,4,5,4,1,1,12,32,2,3,31,0,3,42,1,3,0,1,1,43,1,2,37,1,3,0,0,3
1,18,14,4,5,4,1,1,14,40,2,3,46,1,3,41,1,3,0,1,1,45,1,2,30,1,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,11,38,3,3,37,0,3,45,1,3,0,1,1,42,1,2,47,1,3,0,0,3
0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,18,14,4,5,5,0,1,15,36,1,3,41,1,3,32,1,3,0,1,1,43,1,2,37,1,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,18,14,4,5,5,0,1,15,35,1,3,39,1,3,36,1,3,0,1,1,48,1,2,48,1,3,0,0,3
0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,11,7,4,3,1,2,11,38,2,3,46,0,3,0,0,3,0,1,1,43,1,2,47,1,3,0,0,3
0,18,2,16,1,1,0,2,10,0,0,3,0,0,3,0,0,3,0,1,1,35,1,2,0,0,3,0,0,3
