CAR_DIEZ,NCC_DIEZ,NCA_DIEZ,NCP_DIEZ,NAC_DIEZ,NAA_DIEZ,NAP_DIEZ,EPA_DIEZ,SEMESTRES_CURSADOS,NOTA_EI_IB,VECES_EI_IB,CREDITOS_EI_IB,NOTA_EI_IIB,VECES_EI_IIB,CREDITOS_EI_IIB,NOTA_EI_IIIB,VECES_EI_IIIB,CREDITOS_EI_IIIB,NOTA_EE_CUATRO,VECES_EE_CUATRO,CREDITOS_EE_CUATRO,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_ELEC_IND,VECES_ELEC_IND,CREDITOS_ELEC_IND,NOTA_TGDOS,VECES_TGDOS,CREDITOS_TGDOS
1,18,14,4,5,4,1,1,11,34,2,3,47,0,3,48,1,3,0,1,1,43,1,2,47,1,3,0,0,3
0,0,0,0,0,0,0,0,9,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
2,18,11,7,5,3,2,2,15,38,3,3,40,1,3,18.5,2,3,0,1,1,36,1,2,45,1,3,0,0,3
1,18,14,4,5,4,1,1,15,41,2,3,30,1,3,35,1,3,0,1,1,44,1,2,33,1,3,0,0,3
0,18,14,4,5,5,0,1,12,39,1,3,44,1,3,40,1,3,0,1,1,43,1,2,45,1,3,0,0,3
0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
1,18,14,4,5,4,1,1,12,37,3,3,47,0,3,48,1,3,0,1,1,46,1,2,48,1,3,0,0,3
0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
2,18,9,9,5,3,2,2,12,33.5,1,3,45,1,3,42,1,3,0,1,1,22,2,2,23,2,3,0,0,3
2,18,11,7,5,3,2,2,13,26.7,2,3,36,0,3,45,1,3,0,1,1,36,2,2,35,1,3,0,0,3
0,0,0,0,0,0,0,0,8,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
3,18,11,7,5,2,3,2,14,47,2,3,40,1,3,43,0,3,0,1,1,35,2,2,20,2,3,0,0,3
0,0,0,0,0,0,0,0,10,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,0,3,0,1,1,0,0,2,0,0,3,0,0,3
