CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,PROMEDIO_SIETE,NOTA_L_DOS,VECES_L_DOS,CREDITOS_L_DOS,NOTA_EE_TRES,VECES_EE_TRES,CREDITOS_EE_TRES,NOTA_COMANA,VECES_COMANA,CREDITOS_COMANA,NOTA_MOYGE,VECES_COYGE,CREDITOS_COYGE,NOTA_DDM,VECES_DDM,CREDITOS_DDM,NOTAS_SYS,VECES_SYS,CREDITOS_SYS,NOTA_CCON,VECES_CCON,CREDITOS_CCON
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
1,16,11,5,6,5,1,1,31.9,0,0,2,50,1,2,23.5,2,3,30,1,3,35,1,3,30,1,2,40,1,1
0,16,12,4,5,5,0,1,36,0,0,2,0,1,2,35,1,3,35,1,3,45,1,3,30,1,2,35,1,1
2,16,8,8,6,4,2,1,35.4,0,0,2,38,1,2,29,2,3,35,1,3,26,2,3,45,1,2,40,1,1
0,16,12,4,5,5,0,1,37.8,0,0,2,0,1,2,37,1,3,42,1,3,46,1,3,40,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
1,16,12,4,5,4,1,2,31.1,0,0,2,0,1,2,35,1,3,32,1,3,33,1,3,31.5,2,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
1,16,6,10,5,4,1,2,14.6,0,0,2,0,1,2,5,1,3,8.5,2,3,32,1,3,32,1,2,35,1,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,45,1,1
0,16,14,2,6,6,0,1,3.04167E+14,0,0,2,43,1,2,31,1,3,37,1,3,38,1,3,46,1,2,40,1,1
0,0,0,0,0,0,0,0,2,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
1,16,11,5,6,5,1,1,2.96667E+14,0,0,2,50,1,2,19.5,2,3,41,1,3,32,1,3,30,1,2,40,1,1
0,16,12,4,5,5,0,1,33.6,0,0,2,0,1,2,32,1,3,43,1,3,43,1,3,45,1,2,30,1,1
3,16,5,11,6,3,3,2,29.65,0,0,2,40,1,2,25.33333333,3,3,25.5,2,3,21.5,2,3,44,1,2,40,1,1
0,16,14,2,6,6,0,1,32.2,0,0,2,40,1,2,33,1,3,42,1,3,38,1,3,44,1,2,40,1,1
2,16,7,9,5,3,2,2,25.8,0,0,2,0,1,2,20.5,2,3,44,1,3,40,1,3,17.66666667,3,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,1,15,1,1,0,2,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,41,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,16,14,2,6,6,0,1,34.8,0,0,2,50,1,2,37,1,3,43,1,3,35,1,3,34,1,2,40,1,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1
