NOTA_MPI,VECES_MPI,CREDITOS_MPI,NOTA_PYE,VECES_PYE,CREDITOS_PYE,NOTA_ELD,VECES_ELD,CREDITOS_ELD,NOTA_EL_DOS,VECES_EL_DOS,CREDITOS_EL_DOS,NOTA_CIR_TRES,VECES_CIR_TRES,CREDITOS_CIR_TRES,NOTA_GEE,VECES_GEE,CREDITOS_GEE,NOTA_ME,VECES_ME,CREDITOS_ME,CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
40,1,2,0,0,2,2,1,3,0,0,3,0,0,2,0,0,2,32,1,3,0,8,5,3,3,2,1,2,28
40,1,2,45,1,2,35,1,3,35,1,3,41,1,2,33,1,2,41,1,3,0,17,17,0,7,7,0,1,32
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,35,1,2,45,1,3,40,1,3,39,1,2,34,1,2,43,1,3,0,17,17,0,7,7,0,1,33.25
39,1,2,40,3,2,35,1,3,36,3,3,34,1,2,33,2,2,39,1,3,3,29,17,12,12,7,5,2,24.64
35,1,2,32,1,2,35,1,3,34,1,3,30,1,2,50,1,2,33,1,3,0,17,17,0,7,7,0,1,27.2
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
45,1,2,50,1,2,50,1,3,45,1,3,41,1,2,34,1,2,45,1,3,0,17,17,0,7,7,0,1,39.64705882
35,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,2,0,1,1,0,1,0
35,1,2,30,1,2,35,1,3,36,1,3,50,2,2,30,2,2,36,1,3,2,21,17,4,9,7,2,2,34.85
35,1,2,35,1,2,40,3,3,32,1,3,36,3,2,30,3,2,31,2,3,4,34,17,17,14,7,7,2,20.90909091
39,1,2,37,1,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,4,4,0,2,2,0,1,0
35,1,2,36,1,2,32,1,3,30,1,3,44,1,2,35,3,2,35,1,3,1,21,17,4,9,7,2,2,31.7
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
40,1,2,35,1,2,43,3,3,34,1,3,44,1,2,36,1,2,36,1,3,1,23,17,6,9,7,2,2,33.5
35,1,2,36,1,2,44,1,3,30,1,3,41,1,2,32,2,2,35,1,3,1,19,17,2,8,7,1,1,30.15
41,1,2,31,2,2,30,2,3,38,2,3,0,0,2,30,1,2,30,1,3,3,23,15,8,9,6,3,2,20.28571429
40,1,2,45,1,2,35,1,3,36,2,3,35,1,2,33,2,2,35,1,3,2,22,17,5,9,7,2,2,30.15
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
45,1,2,30,1,2,43,1,3,33,1,3,40,1,2,30,2,2,30,1,3,1,19,17,2,8,7,1,1,30.5
39,1,2,40,1,2,47,1,3,38,1,3,43,1,2,36,1,2,33,1,3,0,17,17,0,7,7,0,1,32
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,35,1,2,35,1,3,31,1,3,50,3,2,32,2,2,33,1,3,2,23,17,6,10,7,3,2,25.19230769
32,1,2,31,1,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,4,4,0,2,2,0,1,0
17,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,0,2,1,0,1,2,0
35,1,2,34,1,2,31,1,3,38,3,3,0,0,2,33,2,2,30,1,3,2,23,15,8,9,6,3,2,18.40909091
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,34,1,2,44,1,3,39,1,3,43,1,2,32,1,2,37,1,3,0,17,17,0,7,7,0,1,39.47058824
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
30,1,2,33,3,2,32,1,3,30,2,3,35,2,2,30,3,2,30,1,3,4,30,17,13,13,7,6,2,23.34615385
40,1,2,35,1,2,40,1,3,37,1,3,0,0,2,0,0,2,30,1,3,0,13,13,0,5,5,0,1,21.07692308
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
31,1,2,0,0,2,32,1,3,30,2,3,11,1,2,20,1,2,35,1,3,1,18,11,7,7,4,3,2,12.57692308
30,1,2,0,0,2,6,3,3,43,4,3,0,0,2,19,3,2,30,1,3,3,32,8,24,12,3,9,2,9.153846154
35,1,2,31,2,2,37,1,3,35,1,3,41,1,2,30,1,2,40,1,3,1,19,17,2,8,7,1,1,35.47058824
30,1,2,31,1,2,38,1,3,32,1,3,45,1,2,33,1,2,30,2,3,1,20,17,3,8,7,1,2,36.94117647
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
31,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,2,0,1,1,0,1,0
32,1,2,41,1,2,44,1,3,44,2,3,37,2,2,34,1,2,38,1,3,2,22,17,5,9,7,2,1,29.60869565
35,1,2,33,1,2,44,1,3,36,1,3,44,1,2,36,2,2,32,1,3,1,19,17,2,8,7,1,1,37.88235294
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,2,0,1,1,0,1,0
35,1,2,0,0,2,41,1,3,35,1,3,0,0,2,33,1,2,30,2,3,1,16,13,3,6,5,1,2,23
0,0,2,34,1,2,27,2,3,30,1,3,0,0,2,0,0,2,0,0,3,1,11,5,6,4,2,2,2,0
0,0,2,31,1,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,2,0,1,1,0,1,38
40,1,2,34,1,2,49,1,3,34,1,3,31,1,2,35,2,2,39,1,3,1,19,17,2,8,7,1,1,40.41176471
35,1,2,37,1,2,30,1,3,39,1,3,40,3,2,32,1,2,37,1,3,1,21,17,4,9,7,2,2,39.88235294
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
7,3,2,0,1,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,1,8,0,8,4,0,4,2,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,28,2,2,0,0,3,0,0,3,0,0,2,0,0,2,30,1,3,1,9,5,4,4,2,2,2,34
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,32,2,2,36,2,3,34,1,3,47,1,2,37,1,2,34,1,3,2,22,17,5,9,7,2,2,39.05882353
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
38,1,2,31,2,2,34,3,3,32,1,3,31,2,2,33,1,2,38,1,3,3,27,17,10,11,7,4,2,20.69565217
36,1,2,35,1,2,32,1,3,33,1,3,39,1,2,31,1,2,35,1,3,0,17,17,0,7,7,0,1,34.23529412
30,1,2,0,0,2,0,0,3,0,0,3,0,0,2,4,1,2,0,0,3,0,4,2,2,2,1,1,2,14
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
39,1,2,31,1,2,33,1,3,40,1,3,47,1,2,30,1,2,37,1,3,0,17,17,0,7,7,0,1,36.70588235
33,1,2,34,1,2,35,1,3,30,1,3,44,2,2,34,2,2,34,2,3,3,24,17,7,10,7,3,2,29.95454545
36,1,2,34,1,2,39,1,3,39,2,3,43,1,2,32,2,2,35,3,3,3,28,17,11,11,7,4,2,25.95
30,1,2,35,1,2,33,1,3,38,2,3,32,1,2,24,2,2,33,2,3,3,25,15,10,10,6,4,2,35
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,2,2,0,1,1,0,1,0
39,1,2,0,0,2,34,1,3,0,0,3,0,0,2,0,0,2,0,0,3,0,5,5,0,2,2,0,1,0
0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
35,1,2,30,2,2,34,1,3,33,2,3,43,1,2,33,2,2,40,1,3,3,24,17,7,10,7,3,2,25.34782609
