NOTA_EI_OP_AII,VECES_EI_OP_AII,CREDITOS_EI_OP_AII,NOTA_EI_OP_BII,VECES_EI_OP_BII,CREDITOS_EI_OP_BII,NOTA_EI_OP_CI,VECES_EI_OP_CI,CREDITOS_EI_OP_CI,NOTA_GES_CAL_VAL_SOFT,VECES_GES_CAL_VAL_SOFT,CREDITOS_GES_CAL_VAL_SOFT,NOTA_SIS_OP,VECES_SIS_OP,CREDITOS_SIS_OP,NOTA_GRADO_UNO,VECES_GRADO_UNO,CREDITOS_GRADO_UNO,CAR_NUEVE,NCC_NUEVE,NCA_NUEVE,NCP_NUEVE,NAC_NUEVE,NAA_NUEVE,NAP_NUEVE,EPA_NUEVE,PROMEDIO_DIEZ
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0
0,0,0,30,1,3,44,1,3,31,1,3,42,1,3,0,0,0,0,12,12,0,4,4,0,1,40.78571429
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,3,46,1,3,43,1,3,28,2,3,33,1,3,0,0,0,1,18,12,6,6,4,2,2,41.86363636
0,0,0,44,1,3,43,1,3,41,1,3,40,1,3,50,1,1,0,13,13,0,5,5,0,1,45.52941176
30,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,3,2,1,1,2,0
0,0,0,0,0,0,39,1,3,45,1,3,32,1,3,0,0,0,0,9,9,0,3,3,0,1,35.78571429
50,1,3,50,1,3,46,1,3,47,1,3,40,1,3,0,0,0,0,15,15,0,5,5,0,1,43.72727273
0,0,0,39,1,3,43,1,3,47,1,3,40,1,3,0,0,0,0,12,12,0,4,4,0,1,39.42857143
50,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0
0,0,0,44,1,3,46,1,3,43,1,3,45,1,3,50,1,1,0,13,13,0,5,5,0,1,44.17647059
24,2,3,0,0,0,0,0,0,0,0,0,12,1,3,0,0,0,1,9,0,9,3,0,3,2,0
0,0,0,0,0,0,44,1,3,0,0,0,40,1,3,0,0,0,0,6,6,0,2,2,0,1,18.40909091
50,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0
0,0,0,50,1,3,41,1,3,0,0,0,44,1,3,0,0,0,0,9,9,0,3,3,0,1,45.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0
50,1,3,4,1,3,42,1,3,30.5,2,3,31,1,3,0,0,0,1,18,12,6,6,4,2,2,39.18181818
29.5,2,3,38,1,3,44,1,3,46,1,3,40,1,3,0,0,0,1,18,12,6,6,4,2,1,38.02380952
0,0,0,0,0,0,0,0,0,0,0,0,32,1,3,0,0,0,0,3,3,0,1,1,0,2,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,2,0
44,1,3,0,0,0,45,1,3,45,1,3,30,1,3,0,0,0,0,12,12,0,4,4,0,1,37.72727273
0,0,0,0,0,0,44,1,3,45,1,3,50,1,3,0,0,0,0,9,9,0,3,3,0,1,48
46,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,32
0,0,0,0,0,0,33,1,3,46,1,3,36,1,3,0,0,0,0,9,9,0,3,3,0,1,33.54545455
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0
30,2,3,0,0,0,43,1,3,46,1,3,39,1,3,0,0,0,1,15,12,3,5,4,1,2,43.27272727
50,1,3,0,0,0,44,1,3,44,1,3,45,1,3,47,1,1,0,13,13,0,5,5,0,1,42.5
0,0,0,48,1,3,47,1,3,45,1,3,48,1,3,50,1,1,0,13,13,0,5,5,0,1,47.11764706
50,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0
0,0,0,42,1,3,46,1,3,45,1,3,48,1,3,50,1,1,0,13,13,0,5,5,0,1,46.64705882
50,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,1,0
0,0,0,28,1,3,50,1,3,47,1,3,38,1,3,0,0,0,0,12,9,3,4,3,1,1,40.21428571
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,39,1,3,40,1,3,35,1,3,31,1,3,0,0,0,0,12,12,0,4,4,0,1,38.63636364
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,2,0
48,1,3,33,1,3,38,1,3,45,1,3,32.5,2,3,0,0,0,1,18,15,3,6,5,1,1,40.28571429
42,1,3,0,0,0,43,1,3,47,1,3,47,1,3,50,1,1,0,13,13,0,5,5,0,1,47.07142857
