NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;NOTA_ECONOMIA_UNO;VECES_ECONOMIA_UNO;CREDITOS_ECONOMIA_UNO;NOTA_ECUACIONES;VECES_ECUACIONES;CREDITOS_ECUACIONES;NOTA_ESTADISTICA_DOS;VECES_ESTADISTICA_DOS;CREDITOS_ESTADISTICA DOS;NOTA_FISICA_DOS;VECES_FISICA_DOS;CREDITOS_FISICA_DOS;NOTA_MECANICA;VECES_MECANICA;CREDITOS_MECANICA;NOTA_PROCESOSQ;VECES_PROCESOSQ;CREDITOS_PROCESOS Q;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
832;38.2;48.0;35.529411764705884;30.0;30.0;36.0;45.0;35.05555555555556;5;28.0;29.0;37.0;31.0;43.0;38.05555555555556;1;22;18;4;7;6;1;1;30.0;1;2;34.0;1;3;46.0;1;3;44.0;1;3;23.0;3;2;39.0;1;3;45;1;2;2;38.0
834;36.2;44.0;31.058823529411764;31.0;24.0;30.5;47.0;30.970588235294116;5;27.5;31.0;34.0;30.0;0.0;34.35294117647059;2;21;16;5;6;6;0;1;35.0;1;2;33.0;1;3;45.0;1;3;31.0;2;3;30.5;2;2;42.0;1;3;0;0;2;2;36.23529411764706
839;36.46666666666667;46.0;34.8235294117647;31.0;39.0;22.0;46.0;39.27777777777778;7;30.0;44.0;42.0;39.0;38.0;34.705882352941174;0;16;16;0;6;6;0;1;31.0;1;2;38.0;1;3;39.0;1;3;40.0;1;3;30.0;1;2;39.0;1;3;0;0;2;2;37.470588235294116
840;34.86666666666667;43.0;35.85294117647059;26.5;35.0;34.0;43.0;38.888888888888886;7;30.0;34.0;36.0;42.0;44.0;37.411764705882355;0;16;16;0;6;6;0;1;43.0;1;2;42.0;1;3;41.0;1;3;37.0;1;3;32.0;1;2;42.0;1;3;0;0;2;2;39.8235294117647
841;34.03333333333333;41.0;33.94117647058823;24.5;30.5;32.0;46.0;35.8235294117647;6;35.0;46.0;35.0;31.0;0.0;30.61764705882353;2;21;16;5;6;4;2;1;36.0;1;2;32.0;1;3;27.5;2;3;39.0;1;3;24.0;2;2;35.0;1;3;0;0;2;2;32.76470588235294
842;38.93333333333333;49.0;37.705882352941174;34.0;33.0;42.0;44.0;35.44444444444444;6;38.0;38.0;32.0;30.0;48.0;41.333333333333336;0;18;18;0;7;7;0;1;48.0;1;2;31.0;1;3;46.0;1;3;40.0;1;3;34.0;1;2;45.0;1;3;47;1;2;3;40.5
843;35.93333333333333;45.0;31.41176470588235;28.5;26.5;30.0;40.0;33.861111111111114;5;25.0;25.0;36.5;34.0;48.0;33.0;1;21;18;3;7;6;1;1;35.0;1;2;30.0;1;3;30.0;1;3;29.0;2;3;30.0;1;2;35.0;1;3;46;1;2;2;38.14705882352941
844;38.733333333333334;40.0;40.411764705882355;44.0;38.0;30.0;46.0;38.638888888888886;7;32.5;35.0;41.0;35.0;45.0;39.72222222222222;1;20;18;2;7;6;1;1;40.0;1;2;35.0;1;3;35.0;1;3;44.0;1;3;29.5;2;2;46.0;1;3;48;1;2;3;40.411764705882355
845;37.733333333333334;44.0;29.676470588235293;30.0;23.5;32.0;13.0;24.283333333333335;3;9.75;31.0;9.666666666666666;0.0;0.0;2.5;2;15;5;10;2;0;2;2;0.0;0;2;0.0;0;3;3.0;3;3;0.0;0;3;3.0;3;2;0.0;0;3;0;0;2;2;35.3
846;32.95;44.0;32.0;25.0;28.5;35.0;27.0;33.30555555555556;7;31.5;30.0;32.0;30.0;31.0;38.333333333333336;0;18;18;0;7;7;0;1;32.0;1;2;36.0;1;3;44.0;1;3;39.0;1;3;30.0;1;2;45.0;1;3;37;1;2;2;35.705882352941174
847;36.75555555555555;44.0;34.470588235294116;35.0;26.5;31.0;46.0;41.611111111111114;7;32.0;48.0;41.0;45.0;49.0;37.94444444444444;0;18;18;0;7;7;0;1;34.0;1;2;40.0;1;3;33.0;1;3;41.0;1;3;30.0;1;2;39.0;1;3;48;1;2;3;41.05882352941177
850;37.13333333333333;44.0;34.411764705882355;31.0;33.0;34.0;39.0;38.333333333333336;6;36.0;37.0;46.0;41.0;24.0;37.1764705882353;1;18;16;2;6;6;0;1;40.0;1;2;36.0;1;3;48.0;1;3;37.0;1;3;33.0;2;2;41.0;1;3;0;0;2;2;37.88235294117647
851;37.03333333333333;46.0;34.94117647058823;29.5;33.0;33.0;42.0;40.388888888888886;7;32.0;45.0;45.0;43.0;36.0;35.97222222222222;2;24;18;6;7;7;0;1;39.0;1;2;39.0;1;3;31.0;2;3;31.5;2;3;30.0;1;2;37.0;1;3;47;1;2;2;37.64705882352941
852;40.93333333333333;46.0;32.53846153846154;31.0;20.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;26.666666666666668
853;39.86666666666667;39.0;38.76470588235294;35.0;32.0;39.0;43.0;38.27777777777778;7;31.0;41.0;31.0;34.0;50.0;34.205882352941174;2;21;16;5;6;5;1;1;32.0;2;2;34.0;1;3;28.5;2;3;45.0;1;3;30.0;1;2;45.0;1;3;0;0;2;2;38.38235294117647
854;40.8;49.0;38.529411764705884;35.0;35.0;44.0;43.0;36.55555555555556;7;34.0;36.0;34.0;36.0;45.0;40.44444444444444;0;18;18;0;7;7;0;1;44.0;1;2;34.0;1;3;35.0;1;3;45.0;1;3;36.0;1;2;46.0;1;3;44;1;2;2;39.23529411764706
860;36.666666666666664;47.0;38.23529411764706;34.0;31.0;39.0;42.0;37.388888888888886;7;31.0;35.0;42.0;32.0;42.0;42.388888888888886;0;18;18;0;7;7;0;1;40.0;1;2;37.0;1;3;48.0;1;3;40.0;1;3;41.0;1;2;46.0;1;3;44;1;2;3;40.94117647058823
