NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;CREDITOS_DIFERENCIAL;ESTADO_FINAL;NOTA_DIFERENCIAL;VECES_DIFERENCIAL;NOTA_DIBUJO;VECES_DIBUJO;CREDITOS_DIBUJO;NOTA_QUIMICA;VECES_QUIMICA;CREDITOS_QUIMICA;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEMINARIO;VECES_SEMINARIO;CREDITOS_SEMINARIO;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
736;16;486.1;78.36;66.93;71.9;47.58;16;22.0;2;20;13;7;6;3;3;2;4;9;22.5;2;35.0;1;2;14.0;2;3;40.0;1;1;0.0;0;2;30.0;1;1;7.0;1;2;1;11.615384615384615
737;20;490.1;88.79;66.93;71.9;85.44;20;32.63636363636363;1;15;11;4;5;4;1;1;4;9;28.5;2;40.0;1;2;30.0;1;3;40.0;1;1;0.0;0;2;35.0;1;1;0.0;0;2;2;30.1
738;2;491.47;79.26;73.09;68.87;88.85;20;38.666666666666664;0;15;15;0;7;7;0;1;4;5;35.0;1;40.0;1;2;30.0;1;3;40.0;1;1;50.0;1;2;40.0;1;1;45.0;1;2;2;37.23529411764706
739;2;491.54;78.36;69.72;55.92;73.24;11;37.6;0;15;15;0;7;7;0;1;4;5;35.0;1;40.0;1;2;30.0;1;3;40.0;1;1;37.0;1;2;40.0;1;1;50.0;1;2;3;42.0
740;7;518.55;75.41;69.98;82.9;79.4;8;36.266666666666666;0;15;15;0;7;7;0;1;4;5;35.0;1;40.0;1;2;30.0;1;3;40.0;1;1;41.0;1;2;30.0;1;1;41.0;1;2;2;35.88235294117647
741;17;500.63;68.39;73.09;71.9;58.01;18;36.93333333333333;0;15;15;0;7;7;0;1;4;5;35.0;1;40.0;1;2;35.0;1;3;40.0;1;1;34.0;1;2;35.0;1;1;43.0;1;2;2;35.1764705882353
742;17;516.22;79.26;69.98;75.16;89.24;10;34.46666666666667;0;15;15;0;7;7;0;1;4;5;30.0;1;40.0;1;2;30.0;1;3;40.0;1;1;37.0;1;2;35.0;1;1;39.0;1;2;2;36.23529411764706
743;10;494.01;74.62;73.09;63.2;81.98;8;37.266666666666666;0;15;15;0;7;7;0;1;4;5;30.0;1;40.0;1;2;35.0;1;3;40.0;1;1;41.0;1;2;40.0;1;1;46.0;1;2;2;38.64705882352941
744;8;427.42;63.5;57.57;57.8;66.95;8;32.6;2;25;15;10;7;5;2;1;4;5;22.5;2;35.0;1;2;27.0;3;3;45.0;1;1;45.0;1;2;35.0;1;1;39.0;1;2;2;33.55882352941177
745;5;485.43;68.39;79.22;63.99;88.85;5;32.8;1;19;15;4;7;6;1;1;4;10;28.0;2;35.0;1;2;30.0;1;3;40.0;1;1;34.0;1;2;30.0;1;1;41.0;1;2;2;33.1
746;20;470.94;78.36;69.98;57.8;58.01;20;34.2;1;18;15;3;7;6;1;1;4;5;30.0;1;40.0;1;2;28.0;2;3;40.0;1;1;35.0;1;2;35.0;1;1;42.0;1;2;2;34.1764705882353
