NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES;PROMEDIO_TRES
128;20;445.86;66.94;51.86;48.64;60.23;8;22.22222222222222;2;16;7;2;2;10;15.0;0.0;20.0;40.0;0.0;40.0;0.0;26.25;0;7;7;0;3;2;1;2;0.0;0;3;0.0;0;3;15.0;1;3;0.0;0;2;45.0;1;1;40.0;1;3;0.0;0;2;1;0.0
129;10;450.52;62.84;63.43;61.19;43.74;10;24.1;4;38;23;3;4;10;20.0;37.0;22.5;40.0;22.5;35.0;10.0;26.833333333333332;4;33;12;21;4;2;2;1;20.0;3;3;27.0;2;3;30.333333333333332;3;3;0.0;0;2;0.0;0;1;30.0;3;3;0.0;0;2;1;26.178571428571427
130;8;443.08;62.82;61.41;60.25;38.15;11;29.77777777777778;4;30;15;5;2;1;21.666666666666668;30.0;30.0;35.0;22.5;40.0;45.0;27.61764705882353;6;41;17;24;7;4;3;1;21.666666666666668;3;3;27.5;2;3;21.666666666666668;3;3;31.0;3;2;30.0;1;1;35.0;2;3;30.0;2;2;2;32.266666666666666
131;16;443.74;65.16;51.73;58.09;61.22;18;35.46666666666667;1;19;4;6;1;5;22.5;40.0;35.0;45.0;45.0;40.0;41.0;33.125;1;18;16;2;6;5;1;1;30.0;1;3;30.0;1;3;30.0;1;3;29.0;2;2;0.0;0;1;40.0;1;3;41.0;1;2;3;41.13333333333333
132;9;442.69;69.99;51.73;60.25;55.84;9;35.0;1;19;4;6;1;5;25.0;40.0;35.0;40.0;40.0;40.0;40.0;34.088235294117645;1;20;17;3;7;6;1;1;30.0;1;3;22.5;2;3;30.0;1;3;30.0;1;2;40.0;1;1;50.0;1;3;41.0;1;2;2;38.13333333333333
133;20;450.03;60.82;51.86;52.56;66.91;3;34.733333333333334;1;19;4;6;1;5;22.5;40.0;40.0;40.0;35.0;45.0;38.0;39.0;0;16;16;0;6;6;0;1;40.0;1;3;35.0;1;3;30.0;1;3;40.0;1;2;0.0;0;1;45.0;1;3;47.0;1;2;3;41.0
134;20;454.18;66.94;61.71;58.29;40.5;9;30.2;1;19;4;6;1;5;22.5;35.0;30.0;35.0;30.0;40.0;34.0;29.96875;2;22;16;6;6;5;1;2;30.0;1;3;22.5;2;3;30.0;1;3;35.0;1;2;0.0;0;1;30.0;2;3;36.0;1;2;2;34.833333333333336
135;12;447.92;74.44;49.23;51.64;39.07;11;32.788888888888884;2;26;11;5;2;5;23.333333333333332;35.0;27.5;40.0;45.0;40.0;38.0;34.0;3;25;17;8;7;4;3;1;30.0;1;3;27.5;2;3;27.5;2;3;28.5;2;2;45.0;1;1;45.0;1;3;43.0;1;2;1;29.9
136;20;476.52;58.13;61.41;67.71;54.57;20;29.933333333333334;1;23;8;6;1;5;20.0;30.0;30.0;35.0;35.0;40.0;37.0;31.264705882352942;2;26;17;9;7;5;2;1;30.0;1;3;21.666666666666668;3;3;27.5;2;3;37.0;1;2;45.0;1;1;35.0;1;3;35.0;1;2;2;35.733333333333334
137;14;475.58;53.2;61.41;67.71;69.48;14;22.40740740740741;2;23;14;2;2;10;16.666666666666668;0.0;18.333333333333332;40.0;0.0;40.0;0.0;23.0;2;16;10;6;4;2;2;2;15.0;2;3;0.0;0;3;15.0;2;3;0.0;0;2;50.0;1;1;30.0;1;3;0.0;0;2;1;11.25
