CAR_OCHO,NCC_OCHO,NCA_OCHO,NCP_OCHO,NAC_OCHO,NAA_OCHO,NAP_OCHO,EPA_OCHO,ESTADO OCHO,PROMEDIO_NUEVE,NOTA_L_TRES,VECES_L_TRES,CREDITOS_L_TRES,NOTA_EI_TRES,VECES_EI_TRES,CREDITOS_EI_TRES,NOTA_EI_CUATRO,VECES_EI_CUATRO,CREDITOS_EI_CUATRO,NOTA_FGEP,VECES_FGEP,CREDITOS_FGEP,NOTA_FOTOD,VECES_FOTOD,CREDITOS_FOTOD,NOTA_AVAM,VECES_AVAM,CREDITOS_AVAM
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,43.92307692,44,1,2,34,1,3,39,1,3,37,1,2,38,1,2,38,1,2
0,14,14,0,6,6,0,1,1,43.6,43,1,2,31,1,3,37,1,3,39,1,2,38,1,2,34,1,2
0,14,14,0,6,6,0,1,1,40,31,1,2,32,1,3,37,1,3,34,1,2,37,1,2,43,1,2
0,0,0,0,0,0,0,0,2,41,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,43.4,33,1,2,38,1,3,35,1,3,30,1,2,32,1,2,47,1,2
0,14,14,0,6,6,0,1,1,39,43,1,2,39,1,3,39,1,3,49,1,2,36,1,2,39,1,2
1,14,14,0,6,6,0,2,3,36.69230769,34,1,2,36,1,3,40,1,3,38,3,2,30,1,2,38,1,2
0,14,14,0,6,6,0,1,1,44,43,1,2,36,1,3,39,1,3,44,1,2,36,1,2,41,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,43.2,37,1,2,40,1,3,38,1,3,49,1,2,38,1,2,38,1,2
1,14,14,0,6,6,0,1,1,37.7,39,1,2,30,1,3,34,1,3,37,1,2,39,2,2,37,1,2
0,14,14,0,6,6,0,1,1,37.5,40,1,2,37,1,3,39,1,3,44,1,2,39,1,2,41,1,2
0,14,14,0,6,6,0,1,1,40.7,44,1,2,32,1,3,37,1,3,33,1,2,34,1,2,36,1,2
0,14,14,0,6,6,0,1,1,39.23076923,40,1,2,37,1,3,40,1,3,33,1,2,34,1,2,42,1,2
1,14,14,0,6,6,0,1,1,39.46153846,38,2,2,30,1,3,33,1,3,38,1,2,36,1,2,43,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
0,14,14,0,6,6,0,1,1,36.4,38,1,2,41,1,3,37,1,3,39,1,2,34,1,2,41,1,2
0,14,14,0,6,6,0,1,1,39.07692308,41,1,2,43,1,3,30,1,3,39,1,2,36,1,2,43,1,2
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,2
