NOTA_INT,VECES_INT,CREDITOS_INT,NOTA_DEM,VECES_DEM,CREDITOS_DEM,NOTA_POO,VECES_POO,CREDITOS_POO,NOTA_FIS_DOS,VECES_FIS_DOS,CREDITOS_FIS_DOS,NOTA_CIR_UNO,VECES_CIR_UNO,CREDITOS_CIR_UNO,NOTA_EYB,VECES_EYB,CREDITOS_EYB,NOTA_HCI,VECES_HCI,CREDITOS_HCI,CAR_DOS,NCC_DOS,NCA_DOS,NCP_DOS,NAC_DOS,NAA_DOS,NAP_DOS,EPA_DOS,PROMEDIO_TRES
35,1,3,45,1,1,40,1,3,35,1,3,30,2,3,50,1,2,30,1,1,1,19,16,3,8,7,1,1,32.14285714
40,2,3,45,1,1,45,1,3,30,1,3,30,2,3,35,1,2,30,1,1,2,22,16,6,9,7,2,2,30.71428571
33,2,3,45,1,1,35,1,3,35,3,3,30,2,3,35,1,2,40,1,1,3,28,16,12,11,7,4,2,15.54545455
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
40,1,3,45,1,1,50,1,3,30,1,3,30,1,3,35,1,2,35,1,1,0,16,16,0,7,7,0,1,25
30,3,3,50,1,1,50,1,3,30,1,3,35,1,3,30,1,2,45,1,1,1,22,16,6,9,7,2,2,22
30,4,3,50,1,1,30,1,3,30,2,3,25,5,3,45,1,2,45,1,1,3,40,13,27,15,6,9,2,14.8
0,0,3,40,1,1,15,3,3,20,4,3,0,0,3,15,1,2,25,3,1,3,27,1,26,12,1,11,2,5
0,0,3,15,1,1,15,1,3,0,0,3,0,0,3,15,1,2,15,1,1,0,7,0,7,4,0,4,2,0
35,1,3,50,1,1,35,2,3,35,2,3,35,3,3,40,1,2,30,1,1,3,28,16,12,11,7,4,2,19.72727273
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,2,3,50,1,1,30,1,3,30,1,3,30,2,3,30,1,2,35,1,1,2,22,16,6,9,7,2,2,29.28571429
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,2,3,40,1,1,35,2,3,30,3,3,26,4,3,30,1,2,40,2,1,5,38,13,25,15,6,9,2,15
30,2,3,35,2,1,45,1,3,35,3,3,36,2,3,35,1,2,45,1,1,4,29,16,13,12,7,5,2,23.875
30,2,3,35,2,1,40,1,3,30,2,3,30,2,3,35,1,2,40,2,1,5,27,16,11,12,7,5,2,19.54545455
30,1,3,15,3,1,15,3,3,30,3,3,35,2,3,0,0,2,45,2,1,5,32,10,22,14,4,10,2,7.625
30,1,3,35,1,1,40,1,3,30,1,3,45,2,3,40,1,2,40,1,1,1,19,16,3,8,7,1,1,30.57142857
30,1,3,40,1,1,40,1,3,35,2,3,35,2,3,40,1,2,50,1,1,2,22,16,6,9,7,2,2,21.875
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,1,0,0,3,0,0,3,15,3,3,25,1,2,0,0,1,1,11,0,11,4,0,4,2,0
35,1,3,35,1,1,35,2,3,30,2,3,30,1,3,45,1,2,40,1,1,2,22,16,6,9,7,2,2,14.38461538
0,0,3,0,0,1,15,4,3,15,5,3,0,0,3,0,0,2,45,1,1,2,28,1,27,10,1,9,2,3
0,0,3,40,1,1,20,2,3,30,1,3,15,2,3,0,0,2,30,1,1,2,17,5,12,7,3,4,2,30
40,1,3,30,1,1,35,1,3,35,1,3,30,1,3,45,1,2,45,1,1,0,16,16,0,7,7,0,1,29.28571429
15,2,3,40,1,1,15,2,3,25,2,3,15,2,3,20,2,2,45,1,1,5,30,2,28,12,2,10,2,12.5
30,1,3,40,1,1,35,2,3,30,2,3,30,2,3,50,1,2,40,1,1,3,25,16,9,10,7,3,2,30.14285714
35,2,3,50,1,1,45,1,3,30,1,3,30,1,3,40,1,2,50,1,1,1,19,16,3,8,7,1,1,27.14285714
30,2,3,30,1,1,35,1,3,30,1,3,35,2,3,40,1,2,50,1,1,2,22,16,6,9,7,2,2,26.14285714
30,1,3,40,1,1,45,1,3,30,1,3,40,2,3,40,1,2,40,1,1,1,19,16,3,8,7,1,1,30.83333333
30,2,3,40,1,1,45,1,3,35,1,3,45,2,3,35,1,2,50,1,1,2,22,16,6,9,7,2,2,27
35,1,3,45,1,1,35,1,3,30,1,3,45,2,3,40,1,2,50,1,1,1,19,16,3,8,7,1,1,29.85714286
0,0,3,0,0,1,0,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
30,2,3,45,1,1,30,1,3,30,2,3,35,2,3,30,1,2,45,1,1,3,25,16,9,10,7,3,2,20.6
30,2,3,40,1,1,35,1,3,30,1,3,35,1,3,45,1,2,50,1,1,1,19,16,3,8,7,1,1,34
26,4,3,37,1,1,30,1,3,30,3,3,21,6,3,40,1,2,45,1,1,3,46,10,36,17,5,12,2,17.75
0,0,3,0,0,1,15,1,3,0,0,3,0,0,3,0,0,2,15,1,1,0,4,0,4,2,0,2,2,0
40,1,3,40,1,1,40,1,3,30,1,3,50,2,3,40,1,2,45,1,1,1,19,16,3,8,7,1,1,33.33333333
