NUMERO;PROMEDIO_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_LENGUA_UNO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;NOTA_LOG_UNO;VECES_LOG_UNO;CREDITOS_LOG_UNO;NOTA_GOPERACIONES;VECES_GOPERACIONES;CREDITOS_GOPERACIONES;NOTA_CALIDAD_DOS;VECES_CALIDAD_DOS;CREDITOS_CALIDAD_DOS;NOTA_GAMBIENTAL;VECES_GAMBIENTAL;CREDITOS_GAMBIENTAL;NOTA_LENGUA_DOS;VECES_LENGUA_DOS;CREDITOS_LENGUA_DOS;NOTA_CONTEXTO;VECES_CONTEXTO;CREDITOS_CONTEXTO;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_EI_SIETE;VECES_EI_SIETE;CREDITOS_EI_SIETE;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
1104;35.26470588235294;46;33.588235294117645;43.0;37.05882352941177;32.0;35.8;7;42.0;33.0;40.0;40.0;42.07142857142857;0;14;14;0;7;7;0;1;36.0;1;2;46.0;1;3;41.0;1;2;0;0;2;47.0;1;2;35.0;1;1;37.0;1;2;47.0;1;2;2;36.75
1105;37.94117647058823;49;41.11764705882353;43.0;41.64705882352941;43.0;40.53333333333333;7;44.0;39.0;43.0;42.0;43.857142857142854;0;14;14;0;7;7;0;1;44.0;1;2;43.0;1;3;50.0;1;2;0;0;2;42.0;1;2;41.0;1;1;44.0;1;2;42.0;1;2;3;44.8125
1106;31.676470588235293;48;39.411764705882355;44.0;39.35294117647059;44.0;43.266666666666666;8;33.0;48.0;43.0;43.0;40.607142857142854;1;17;14;3;7;7;0;1;44.0;1;2;32.5;2;3;44.0;1;2;0;0;2;42.0;1;2;43.0;1;1;40.0;1;2;44.0;1;2;3;40.125
1111;35.94117647058823;50;34.23529411764706;33.0;36.411764705882355;31.0;40.666666666666664;8;46.0;43.0;40.0;32.0;39.785714285714285;0;14;14;0;7;7;0;1;40.0;1;2;36.0;1;3;40.0;1;2;0;0;2;43.0;1;2;33.0;1;1;44.0;1;2;41.0;1;2;2;31.733333333333334
1115;36.0;50;39.294117647058826;36.0;38.470588235294116;33.0;42.2;8;43.0;41.0;41.0;42.0;44.92857142857143;0;14;14;0;7;7;0;1;40.0;1;2;47.0;1;3;43.0;1;2;0;0;2;48.0;1;2;48.0;1;1;45.0;1;2;44.0;1;2;3;40.3125
1121;33.58888888888889;0;38.73529411764706;43.0;34.55882352941177;34.0;42.23076923076923;7;39.0;44.0;0.0;45.0;33.916666666666664;0;11;11;0;5;5;0;1;30.0;1;2;33.0;1;3;38.0;1;2;0;0;2;46.0;1;2;0.0;0;1;40.0;1;2;0.0;0;2;1;28.363636363636363
1122;39.94117647058823;50;40.8235294117647;49.0;40.94117647058823;39.0;41.733333333333334;8;46.0;40.0;42.0;42.0;43.357142857142854;0;14;14;0;7;7;0;1;40.0;1;2;44.0;1;3;42.0;1;2;0;0;2;48.0;1;2;47.0;1;1;40.0;1;2;44.0;1;2;2;39.4375
1126;33.3235294117647;50;38.588235294117645;50.0;40.705882352941174;36.0;42.2;8;42.0;39.0;43.0;43.0;43.07142857142857;0;14;14;0;7;7;0;1;38.0;1;2;49.0;1;3;44.0;1;2;0;0;2;43.0;1;2;38.0;1;1;44.0;1;2;40.0;1;2;2;36.6875
1127;37.38235294117647;40;42.76470588235294;48.0;40.8235294117647;43.0;41.6;8;46.0;43.0;41.0;38.0;40.57142857142857;0;14;14;0;7;7;0;1;45.0;1;2;30.0;1;3;50.0;1;2;0;0;2;41.0;1;2;40.0;1;1;43.0;1;2;40.0;1;2;3;40.9375
1131;37.470588235294116;50;35.705882352941174;40.0;39.76470588235294;38.0;42.4;8;45.0;41.0;46.0;38.0;44.5;0;14;14;0;7;7;0;1;34.0;1;2;49.0;1;3;45.0;1;2;0;0;2;43.0;1;2;48.0;1;1;46.0;1;2;46.0;1;2;3;42.1875
