NUMERO;LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCP_UNO;NAA_UNO;NAP_UNO;ESTADO_FINAL;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;PROMEDIO_DOS;CAR_DOS;NCC_DOS;NCA_DOS;NCP_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INTEGRAL;VECES_INTEGRAL;CREDITOS_INTEGRAL;NOTA_FISICA_UNO;VECES_FISICA_UNO;CREDITOS_FISICA_UNO;NOTA_MATERIALES;VECES_MATERIALES;CREDITOS_MATERIALES;NOTA_DEMOCRACIA;VECES_DEMOCRACIA;CREDITOS_DEMOCRACIA;NOTA_PBASICA;VECES_PBASICA;CREDITOS_PBASICA;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;RENDIMIENTO_TRES
535;11;486.59;67.54;64.0;65.0;71.53;11;16.818181818181817;0;11;0;1;4;1;15.0;15.0;15.0;35.0;0.0;15.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;1
536;15;483.71;77.58;60.67;54.77;48.4;8;35.666666666666664;0;15;0;7;0;5;30.0;40.0;35.0;35.0;38.0;35.0;42.0;34.88235294117647;1;20;17;3;7;6;1;1;30.0;1;3;25.0;2;3;35.0;1;3;30.0;1;2;40.0;1;1;45.0;1;3;44.0;1;2;2
537;10;481.55;73.57;53.43;58.93;72.32;7;35.8;0;15;0;7;0;5;30.0;40.0;40.0;40.0;31.0;35.0;40.0;34.529411764705884;1;20;17;3;7;7;0;1;30.0;1;3;30.0;2;3;35.0;1;3;30.0;1;2;40.0;1;1;40.0;1;3;41.0;1;2;2
538;16;453.13;70.11;55.86;56.82;67.51;16;29.848484848484848;1;19;8;4;1;1;18.333333333333332;40.0;35.0;35.0;0.0;35.0;0.0;26.75;2;16;10;6;4;2;2;2;15.0;2;3;0.0;0;3;17.5;2;3;0.0;0;2;35.0;1;1;45.0;1;3;0.0;0;2;1
539;20;487.83;53.45;75.93;69.14;59.92;20;37.4;1;19;4;7;0;5;30.0;40.0;40.0;40.0;40.0;35.0;43.0;35.294117647058826;2;25;17;8;7;5;2;1;30.0;1;3;25.666666666666668;3;3;35.0;1;3;28.5;2;2;35.0;1;1;50.0;1;3;43.0;1;2;2
540;16;452.77;59.16;61.12;61.64;45.87;11;21.59090909090909;5;25;14;0;5;1;22.5;22.5;18.333333333333332;22.5;0.0;25.0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;3;0.0;0;2;1
541;13;462.2;56.43;57.99;53.07;79.55;13;30.866666666666667;0;15;0;6;1;1;30.0;40.0;30.0;40.0;45.0;35.0;4.0;29.21333333333333;2;36;15;21;6;4;2;2;24.0;4;3;15.4;5;3;30.0;1;3;35.0;1;2;40.0;1;1;40.0;1;3;0.0;0;2;2
542;3;427.55;53.95;53.11;61.56;69.92;11;36.51111111111111;1;23;8;6;1;5;26.666666666666668;40.0;40.0;40.0;40.0;35.0;43.0;37.1764705882353;1;20;17;3;7;7;0;1;35.0;1;3;35.0;1;3;30.0;2;3;35.0;1;2;39.0;1;1;45.0;1;3;44.0;1;2;2
543;20;467.26;70.62;53.57;52.41;51.23;7;37.46666666666667;0;15;0;7;0;1;35.0;40.0;35.0;40.0;35.0;35.0;46.0;29.470588235294116;3;24;17;7;7;4;3;1;30.0;1;3;27.0;2;3;22.5;2;3;35.0;1;2;25.5;2;1;35.0;1;3;31.0;1;2;2
544;15;466.9;62.84;51.55;61.19;53.56;19;33.733333333333334;1;19;4;6;1;10;27.5;45.0;30.0;40.0;33.0;30.0;40.0;34.88235294117647;1;23;17;6;7;6;1;1;30.0;1;3;30.0;1;3;28.666666666666668;3;3;30.0;1;2;40.0;1;1;45.0;1;3;46.0;1;2;1
