NUMERO;PROMEDIO_CINCO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NOTA_GRAFOS;PROMEDIO_OCHO;NCC_OCHO;NOTA_LOG_UNO;NOTA_CALIDAD_DOS;NOTA_LENGUA_DOS;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_LOG_DOS;VECES_LOG_DOS;CREDITOS_LOG_DOS;NOTA_DECISION;VECES_DECISION;CREDITOS_DECISION;NOTA_PRODUCCION;VECES_PRODUCCION;CREDITOS_PRODUCCION;NOTA_FINANZAS;VECES_FINANZAS;CREDITOS_FINANZAS;NOTA_GIT;VECES_GIT;CREDITOS_GIT;NOTA_GTH;VECES_GTH;CREDITOS_GTH;NOTA_HISTORIA;VECES_HISTORIA;CREDITOS_HISTORIA;RENDIMIENTO_DIEZ
962;39.0;41.0;35.0;45.46666666666667;47.0;41.57142857142857;14;42.0;50.0;32.0;36.71875;1;22;16;6;8;7;1;1;47.0;1;1;43.0;1;2;26.25;4;2;30.0;1;3;34.0;1;2;39.0;1;2;43.0;1;2;40.0;1;2;3
963;35.76470588235294;36.8235294117647;30.0;37.266666666666666;46.0;39.714285714285715;14;43.0;41.0;32.0;31.5625;1;17;16;1;8;7;1;1;23.0;2;1;33.0;1;2;30.0;1;2;30.0;1;3;31.0;1;2;31.0;1;2;31.0;1;2;40.0;1;2;2
964;40.23529411764706;38.88235294117647;39.0;43.333333333333336;46.0;42.285714285714285;14;45.0;44.0;46.0;35.6875;2;21;16;5;8;7;1;1;50.0;1;1;31.0;1;2;30.0;1;2;32.0;2;3;26.5;2;2;44.0;1;2;43.0;1;2;38.0;1;2;4
966;35.94117647058823;38.294117647058826;38.0;40.666666666666664;45.0;33.17857142857143;20;25.0;34.0;42.0;35.8;2;19;15;4;7;5;2;1;0.0;0;1;36.0;1;2;40.0;1;2;43.0;1;3;23.5;2;2;40.0;1;2;37.0;1;2;27.5;2;2;2
968;36.0;36.05882352941177;34.0;37.06666666666667;38.0;37.57142857142857;14;30.0;40.0;47.0;34.77083333333333;1;20;16;4;8;7;1;1;45.0;1;1;30.0;1;2;30.0;1;2;32.0;1;3;26.666666666666668;3;2;46.0;1;2;35.0;1;2;40.0;1;2;2
969;36.029411764705884;38.205882352941174;34.0;43.06666666666667;40.0;36.285714285714285;18;36.5;46.0;23.5;36.53333333333333;0;15;15;0;7;7;0;1;0.0;0;1;42.0;1;2;35.0;1;2;34.0;1;3;33.0;1;2;34.0;1;2;41.0;1;2;38.0;1;2;2
970;31.285714285714285;28.9;36.0;30.8;38.0;24.0;2;36.0;0.0;0.0;12.666666666666666;0;2;2;0;1;0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;19.0;1;2;0.0;0;2;0.0;0;2;1
973;41.05882352941177;40.94117647058823;41.0;42.13333333333333;46.0;41.57142857142857;14;44.0;43.0;39.0;37.78125;1;19;16;3;8;7;1;1;44.0;1;1;37.0;1;2;45.0;1;2;29.5;2;3;31.0;1;2;42.0;1;2;41.0;1;2;40.0;1;2;3
975;37.44117647058823;35.470588235294116;37.0;40.6;42.0;36.642857142857146;18;23.0;40.0;46.0;31.104166666666664;3;25;16;9;8;5;3;1;50.0;1;1;36.0;1;2;13.333333333333334;3;2;19.0;2;3;26.0;2;2;42.0;1;2;39.0;1;2;39.0;1;2;2
976;37.6764705882353;39.11764705882353;33.0;42.0;40.0;39.714285714285715;14;41.0;43.0;43.0;39.8125;0;16;16;0;8;8;0;1;45.0;1;1;31.0;1;2;44.0;1;2;44.0;1;3;30.0;1;2;40.0;1;2;42.0;1;2;43.0;1;2;3
