CAR_SIETE,NCC_SIETE,NCA_SIETE,NCP_SIETE,NAC_SIETE,NAA_SIETE,NAP_SIETE,EPA_SIETE,PROMEDIO_OCHO,NOTA_L_UNO,VECES_L_UNO,CREDITOS_L_UNO,NOTA_EI_UNO,VECES_EI_UNO,CREDITOS_EI_UNO,NOTA_ECO,VECES_ECO,CREDITOS_ECO,NOTA_AUTO,VECES_AUTO,CREDITOS_AUTO,NOTA_MAQEL,VECES_MAQEL,CREDITOS_MAQEL,NOTA_ELECPOT,VECES_ELECPOT,CREDITOS_ELECPOT,NOTA_ASP,VECES_ASP,CREDITOS_ASP
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
3,29,18,11,11,7,4,2,29.3,44,2,2,40,1,3,40,1,2,42,1,2,40,3,3,30,1,3,45,2,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
2,23,18,5,9,7,2,2,20.89285714,41,1,2,39,1,3,30,1,2,34,2,2,30,1,3,30,1,3,43,2,3
0,18,18,0,7,7,0,1,19.65384615,50,1,2,42,1,3,32,1,2,30,1,2,32,1,3,34,1,3,30,1,3
1,13,5,8,6,2,4,2,31.90909091,45,1,2,40,1,3,0,1,2,24,3,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,42.46666667,46,1,2,45,1,3,31,1,2,40,1,2,31,1,3,30,1,3,33,1,3
0,2,2,0,1,1,0,1,0,36,1,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
1,21,18,3,8,7,1,1,40.4,50,1,2,43,1,3,36,1,2,35,1,2,36,1,3,30,1,3,42,2,3
1,11,2,9,5,1,4,2,33.66666667,39,1,2,23,1,3,0,1,2,4,2,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
3,31,18,13,12,7,5,2,25.75,50,1,2,38,1,3,32,1,2,34,3,2,32,2,3,30,3,3,30,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
1,21,5,16,8,2,6,2,32.16666667,40,1,2,31,1,3,27,1,2,27,1,2,27,3,3,0,0,3,4,1,3
1,21,18,3,8,7,1,2,26.42857143,40,1,2,39,1,3,30,1,2,30,1,2,30,1,3,33,2,3,30,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
3,30,18,12,11,7,4,2,24.34782609,42,1,2,34,1,3,30,1,2,30,1,2,30,2,3,30,3,3,39,2,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
3,32,18,14,13,7,6,2,27.88888889,50,1,2,37,1,3,35,3,2,31,3,2,35,1,3,30,1,3,43,3,3
0,18,18,0,7,7,0,1,38.46666667,48,1,2,44,1,3,35,1,2,30,1,2,35,1,3,32,1,3,30,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
2,27,18,9,10,7,3,2,31.72222222,35,1,2,36,1,3,49,1,2,33,1,2,49,1,3,30,3,3,30,2,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,2,2,0,1,1,0,1,35.5,39,1,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
2,27,18,9,10,7,3,2,33.27777778,50,1,2,39,1,3,34,1,2,33,1,2,34,3,3,30,1,3,42,2,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
2,22,18,4,9,7,2,2,21.82608696,42,1,2,33,1,3,38,2,2,34,2,2,38,1,3,42,1,3,30,1,3
0,3,3,0,1,1,0,1,0,0,0,2,43,1,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,8,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
2,24,15,9,9,6,3,2,21.35,50,1,2,0,0,3,31,1,2,30,1,2,31,1,3,39,3,3,44,2,3
1,18,15,3,7,6,1,2,37.75,42,1,2,0,0,3,32,1,2,30,1,2,32,2,3,33,1,3,34,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
2,20,15,5,8,6,2,2,30.2,40,1,2,0,0,3,37,2,2,33,1,2,37,1,3,35,2,3,42,1,3
3,26,15,11,10,6,4,2,19.77272727,48,1,2,0,0,3,30,1,2,35,2,2,30,1,3,30,3,3,37,2,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,2,0,2,1,0,1,2,0,1,1,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
1,4,2,2,2,1,1,2,0,35,2,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
3,26,15,11,10,6,4,2,32.26666667,50,1,2,0,0,3,31,1,2,39,2,2,31,1,3,37,3,3,34,2,3
3,27,15,12,10,6,4,2,26.82352941,41,1,2,0,0,3,33,1,2,35,1,2,33,3,3,34,2,3,35,2,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
2,21,15,6,8,6,2,2,40.91666667,40,1,2,0,0,3,44,1,2,30,1,2,44,2,3,34,1,3,32,2,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
1,4,2,2,2,1,1,2,22,40,2,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,4,2,2,2,1,1,2,7,33,1,2,0,0,3,0,1,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,2,0,2,1,0,1,0,0,0,0,2,0,0,3,0,1,2,0,0,2,0,0,3,0,0,3,0,0,3
1,18,9,9,7,4,3,2,33.7,44,1,2,0,0,3,37,1,2,41,1,2,37,1,3,22,2,3,19,1,3
0,4,2,2,2,1,1,2,0,36,1,2,0,0,3,0,0,2,4,1,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,2,0,2,1,0,1,2,20,12,1,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
3,23,15,8,9,6,3,2,31.2,48,1,2,0,0,3,34,2,2,30,1,2,34,1,3,32,2,3,30,2,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
1,18,15,3,7,6,1,2,23.5,33,1,2,0,0,3,41,1,2,32,1,2,41,2,3,30,1,3,30,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,2,0,2,1,0,1,2,0,15,1,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
1,4,2,2,2,1,1,2,0,46,2,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
0,15,15,0,6,6,0,1,37.91666667,46,1,2,0,0,3,44,1,2,37,1,2,44,1,3,30,1,3,45,1,3
1,17,15,2,7,6,1,2,36,38,1,2,0,0,3,34,1,2,40,2,2,34,1,3,30,1,3,30,1,3
2,24,15,9,9,6,3,2,37.75,45,1,2,0,0,3,31,1,2,38,1,2,31,1,3,33,3,3,36,2,3
0,2,0,2,1,0,1,0,41,0,0,2,0,0,3,0,1,2,0,0,2,0,0,3,0,0,3,0,0,3
0,15,15,0,6,6,0,1,31.86666667,42,1,2,0,0,3,33,1,2,37,1,2,33,1,3,43,1,3,31,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3
1,4,0,4,2,0,2,0,35,0,0,2,0,0,3,0,2,2,0,0,2,0,0,3,0,0,3,0,0,3
