NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_HIST,VECES_HIST,CREDITOS_HIST,NOTA_ALGEBRA,VECES_ALGEBRA,CREDITOS_ALGEBRA,NOTA_CD&C,VECES_CD&C,CREDITOS_CD&C,NOTA_DITO,VECES_DITO,CREDITOS_DITO,CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,ESTADO_UNO,PROMEDIO_DOS
30,1,4,39,1,2,31,1,1,36,1,2,30,1,3,36,1,1,41,1,2,0,15,15,0,7,7,0,1,1,36.58823529
35,2,4,39,1,2,35,1,1,36,1,2,30,1,3,40,1,1,33,1,2,1,15,15,0,7,7,0,1,1,35.76470588
22,2,4,34,1,2,32,2,1,38,1,2,21,2,3,36,1,1,35,2,2,4,15,8,7,7,5,2,2,3,22
12,1,4,18,1,2,16,1,1,6,1,2,12,1,3,21,1,1,22,1,2,0,15,0,15,7,0,7,2,3,0
39,2,4,42,1,2,39,1,1,37,1,2,34,1,3,33,1,1,43,1,2,1,15,15,0,7,7,0,1,1,36.76470588
35,2,4,38,1,2,37,1,1,38,1,2,30,1,3,30,1,1,40,1,2,1,15,15,0,7,7,0,1,1,35.11764706
13,1,4,23,1,2,18,1,1,42,1,2,21,1,3,13,1,1,18,1,2,0,15,2,13,7,1,6,2,3,0
12,1,4,10,1,2,7,1,1,28,1,2,6,1,3,18,1,1,4,1,2,0,15,0,15,7,0,7,2,3,0
35,2,4,43,1,2,36,1,1,40,1,2,40,2,3,38,1,1,43,1,2,2,15,15,0,7,7,0,1,1,34.64705882
32,1,4,41,1,2,34,1,1,43,1,2,30,1,3,37,1,1,44,1,2,0,15,15,0,7,7,0,1,1,35.52941176
24,1,4,34,1,2,31,1,1,40,1,2,20,1,3,34,1,1,24,1,2,0,15,6,9,7,4,3,2,3,0
38,2,4,37,1,2,33,1,1,40,1,2,30,2,3,47,2,1,33,1,2,3,15,15,0,7,7,0,1,1,35.52941176
30,1,4,40,1,2,36,1,1,42,1,2,35,1,3,41,1,1,41,1,2,0,15,15,0,7,7,0,1,1,38.17647059
35,1,4,46,1,2,37,1,1,42,1,2,34,2,3,35,1,1,39,1,2,1,15,15,0,7,7,0,1,1,37.05882353
37,1,4,43,1,2,32,1,1,43,1,2,34,2,3,38,1,1,30,1,2,1,15,15,0,7,7,0,1,1,29.25
