NOTA_DIFERENCIAL,VECES_DIFERENCIAL,CREDITOS_DIFERENCIAL,NOTA_PROG_BASICA,VECES_PROG_BASICA,CREDITOS_PROG_BASICA,NOTA_CATEDRA_FJC,VECES_CATEDRA_FJC,CREDITOS_CATEDRA_FJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEMINARIO,VECES_SEMINARIO,CREDITOS_SEMINARIO,NOTA_CATEDRA_DEM,VECES_CATEDRA_DEM,CREDITOS_CATEDRA_DEM,NOTA_CATEDRA_CON,VECES_CATEDRA_CON,CREDITOS_CATEDRA_CON,NOTA_LOGICA,VECES_LOGICA,CREDITOS_LOGICA,NOTA_EE_UNO,VECES_EE_UNO,CREDITOS_EE_UNO,PROMEDIO_UNO,CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,RENDIMIENTO_1
40,1,4,43,1,3,36,1,1,40,1,2,39,1,1,42,1,1,40,1,1,30,1,3,44,1,2,39.11111111,0,18,18,0,9,9,0,1,2
30,1,4,43,1,3,37,1,1,43,1,2,39,1,1,43,1,1,44,1,1,36,1,3,48,1,2,39,0,18,18,0,9,9,0,1,2
22,1,4,14,1,3,18,1,1,11,1,2,30,1,1,20,1,1,38,1,1,21,1,3,0,0,0,20.0625,0,16,2,14,8,2,6,2,1
29.5,2,4,42,1,3,35,1,1,35,1,2,41,1,1,36,1,1,37,1,1,35,1,3,0,0,0,28.4,1,20,12,8,9,7,2,2,1
34,1,4,47,1,3,29,3,1,50,1,2,22,2,1,40,1,1,37,1,1,45,1,3,41,1,2,34.38095238,3,21,16,5,12,7,5,2,2
21,1,4,13,1,3,19,1,1,14,1,2,32,1,1,24,1,1,20,1,1,11,1,3,0,0,0,17.4375,0,16,1,15,8,1,7,2,1
31,1,4,43,1,3,34,1,1,40,1,2,39,1,1,34,1,1,34,1,1,37,1,3,45,1,2,37.5,0,18,18,0,9,9,0,1,2
36,1,4,50,1,3,42,1,1,50,1,2,45,1,1,46,1,1,44,1,1,43,1,3,44,1,2,43.77777778,0,18,18,0,9,9,0,1,3
31,1,4,43,1,3,38,1,1,37,1,2,42,1,1,37,1,1,41,1,1,37,1,3,50,1,2,38.66666667,0,18,18,0,9,9,0,1,2
30.5,2,4,33,1,3,33,1,1,32,1,2,41,1,1,32,1,1,41,1,1,36,1,3,0,0,0,27,1,20,16,4,9,8,1,2,1
27.33333333,3,4,30,2,3,34,1,1,38,1,2,37,1,1,45,1,1,42,1,1,30,1,3,0,0,0,19.38271605,3,27,12,15,11,7,4,2,1
33,1,4,38,1,3,35,1,1,40,1,2,39,1,1,39,1,1,46,1,1,36,1,3,0,0,0,37.0625,0,16,16,0,8,8,0,1,2
31,1,4,43,1,3,43,1,1,50,1,2,43,1,1,38,1,1,47,1,1,40,1,3,1,1,2,35.88888889,0,18,16,2,9,8,1,1,2
39,1,4,34,1,3,11.5,2,1,0,0,0,38,1,1,28.5,2,1,38,1,1,32,1,3,0,0,0,29.375,2,16,12,4,9,5,4,2,1
33,1,4,39,1,3,38,1,1,50,1,2,45,1,1,34,1,1,41,1,1,40,1,3,41,1,2,39.38888889,0,18,18,0,9,9,0,1,2
37,1,4,42,1,3,42,1,1,31,1,2,40,1,1,34,1,1,41,1,1,41,1,3,0,0,0,38.5,0,16,16,0,8,8,0,1,2
31,1,4,40,1,3,38,1,1,30,1,2,44,1,1,40,1,1,41,1,1,28,1,3,0,0,0,34.4375,0,16,13,3,8,7,1,1,2
12,1,4,17,1,3,14,1,1,25,1,2,24,1,1,11,1,1,0,1,1,5,1,3,0,0,0,13.3125,0,16,0,16,8,0,8,2,1
24,1,4,41,1,3,10,1,1,46,1,2,30,1,1,7,1,1,30,1,1,31,1,3,0,0,0,30.0625,0,16,10,6,8,5,3,2,2
38,1,4,37,1,3,36,1,1,32,1,2,39,1,1,33,1,1,37,1,1,28.5,2,3,42,1,2,30.54761905,1,21,15,6,10,8,2,2,2
3,3,4,5.333333333,3,3,5.666666667,3,1,47,1,2,0,2,1,9.333333333,3,1,5.666666667,3,1,36,1,3,0,0,0,6.774774775,11,37,5,32,19,2,17,2,1
41,1,4,41,1,3,39,1,1,34,1,2,42,1,1,35,1,1,41,1,1,35,1,3,37,1,2,38.38888889,0,18,18,0,9,9,0,1,2
8,1,4,3,1,3,2,1,1,6,1,2,0,1,1,0,1,1,0,1,1,7,1,3,0,0,0,4.75,0,16,0,16,8,0,8,2,1
30,2,4,40,1,3,31,1,1,17,1,2,43,1,1,33,1,1,37,1,1,33,1,3,0,0,0,25.85,1,20,14,6,9,7,2,2,1
25.5,2,4,41,1,3,33,1,1,30,1,2,36,1,1,33,1,1,40,1,1,39,1,3,0,0,0,27.2,1,20,12,8,9,7,2,2,1
29,2,4,37,1,3,33,2,1,30,1,2,41,1,1,34,2,1,44,1,1,30,1,3,0,0,0,24.04545455,3,22,12,10,11,7,4,2,1
30,1,4,39,1,3,32,1,1,50,1,2,37,1,1,35,1,1,35,1,1,33,1,3,50,1,2,37.5,0,18,18,0,9,9,0,1,2
39,1,4,37,1,3,38,1,1,44,1,2,45,1,1,31,1,1,39,1,1,31,1,3,43,1,2,38.16666667,0,18,18,0,9,9,0,1,2
32,1,4,38,1,3,25,2,1,35,1,2,37,1,1,38,1,1,35,1,1,43,1,3,36,1,2,34.10526316,1,19,17,2,10,8,2,1,2
31,1,4,40,1,3,36,1,1,40,1,2,42,1,1,35,1,1,37,1,1,33,1,3,43,1,2,36.61111111,0,18,18,0,9,9,0,1,2
31,1,4,40,1,3,31,1,1,30,1,2,36,1,1,32,1,1,39,1,1,31,1,3,0,0,0,33.4375,0,16,16,0,8,8,0,1,2
35,1,4,41,1,3,38,1,1,33,1,2,45,1,1,38,1,1,35,1,1,33,1,3,0,0,0,36.5,0,16,16,0,8,8,0,1,2
41,1,4,49,1,3,44,1,1,37,1,2,43,1,1,46,1,1,43,1,1,37,1,3,0,0,0,42,0,16,16,0,8,8,0,1,3
