NOTA_INGECO,VECES_INGECO,CREDITOS_INGECO,NOTA_DDP,VECES_DDP,CREDITOS_DDP,NOTA_IO_DOS,VECES_IO_DOS,CREDITOS_IO_DOS,NOTA_CONEM,VECES_CONEM,CREDITOS_CONEM,NOTA_TDE,VECES_TDE,CREDITOS_TDE,NOTAS_RDC,VECES_RDC,CREDITOS_RDC,NOTA_CTRL,VECES_CTRL,CREDITOS_CTRL,CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,PROMEDIO_SIETE
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
36,2,2,41,1,3,31,1,2,30,1,3,31,1,3,39,1,2,30,3,2,2,23,17,6,10,7,3,2,20.06451613
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
27,2,2,0,0,3,30,1,2,34,1,3,39,1,3,41,1,2,24,2,2,2,18,10,8,8,4,4,2,17.80952381
32,1,2,42,1,3,36,2,2,30,2,3,38,1,3,37,1,2,30,1,2,2,22,17,5,9,7,2,2,28.38095238
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,32,1,2,0,0,2,0,2,2,0,1,1,0,1,0
33,1,2,33,1,3,40,1,2,30,1,3,36,1,3,38,1,2,30,1,2,0,17,17,0,7,7,0,1,20.1
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
45,2,2,41,1,3,37,1,2,34,3,3,31,1,3,38,1,2,36,1,2,2,25,17,8,10,7,3,2,20.84375
48,1,2,39,1,3,36,1,2,35,1,3,43,1,3,40,1,2,41,1,2,0,17,17,0,7,7,0,1,36.05555556
0,0,2,0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
32,1,2,40,1,3,30,1,2,39,2,3,41,1,3,43,1,2,30,1,2,1,20,17,3,8,7,1,1,24.77777778
