CAR_CINCO,NCC_CINCO,NCA_CINCO,NCP_CINCO,NAC_CINCO,NAA_CINCO,NAP_CINCO,EPA_CINCO,ESTADO CINCO,PROMEDIO_SEIS,NOTA_ECO_UNO,VECES_ECO_UNO,CREDITOS_ECO_UNO,NOTA_ME,VECES_ME,CREDITOS_ME,NOTA_EST,VECES_EST,CREDITOS_EST,NOTA_AGEO,VECES_AGEO,CREDITOS_AGEO,NOTA_BD,VECES_BD,CREDITOS_BD,NOTA_CARTO,VECES_CARTO,CREDITOS_CARTO,NOTAS_SISC,VECES_SISC,CREDITOS_SISC
2,18,18,0,7,7,0,1,1,36.47058824,35,1,2,35,2,2,41,1,2,40,2,3,38,1,3,40,1,3,30,1,3
1,18,18,0,7,7,0,1,1,39.11764706,33,1,2,31,1,2,41,1,2,42,2,3,38,1,3,37,1,3,38,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
3,18,18,0,7,7,0,2,3,37.94117647,37,2,2,30,3,2,43,1,2,42,2,3,30,1,3,40,1,3,35,1,3
1,18,18,0,7,7,0,1,1,41,33,1,2,30,1,2,43,1,2,30,1,3,43,2,3,42,1,3,43,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,36,30,1,2,33,2,2,38,1,2,38,1,3,31,1,3,36,1,3,38,1,3
1,18,18,0,7,7,0,1,1,36.47058824,30,2,2,32,1,2,34,1,2,32,1,3,30,1,3,37,1,3,31,1,3
0,18,18,0,7,7,0,1,1,43.29411765,30,1,2,30,1,2,43,1,2,35,1,3,31,1,3,39,1,3,37,1,3
1,18,18,0,7,7,0,1,1,40.41176471,38,2,2,31,1,2,48,1,2,30,1,3,39,1,3,45,1,3,34,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,40.11764706,31,1,2,39,1,2,39,1,2,43,2,3,44,1,3,41,1,3,43,1,3
0,0,0,0,0,0,0,0,2,50,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
3,18,18,0,7,7,0,1,1,33.70588235,30,2,2,33,1,2,30,2,2,36,2,3,37,1,3,34,1,3,30,1,3
2,18,18,0,7,7,0,1,1,35.47058824,36,2,2,35,1,2,34,1,2,33,2,3,32,1,3,41,1,3,32,1,3
2,18,18,0,7,7,0,1,1,41.23529412,30,1,2,30,2,2,48,1,2,36,2,3,35,1,3,43,1,3,42,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,50,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
3,18,18,0,7,7,0,2,3,36.82352941,38,3,2,38,2,2,36,1,2,38,1,3,38,1,3,36,2,3,38,1,3
1,18,18,0,7,7,0,1,1,38.17647059,35,1,2,34,1,2,44,1,2,39,2,3,37,1,3,38,1,3,30,1,3
3,18,16,2,7,6,1,2,3,31.33333333,30,3,2,20,4,2,30,1,2,30,3,3,36,1,3,44,1,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,50,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,2,16,2,1,6,2,3,39,35,2,2,0,0,2,0,0,2,0,0,3,24,1,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,38.41176471,32,1,2,32,2,2,39,1,2,35,1,3,35,1,3,46,1,3,44,1,3
0,18,18,0,7,7,0,1,1,39.94117647,38,1,2,40,1,2,46,1,2,37,1,3,34,1,3,40,1,3,43,1,3
1,18,11,7,6,4,3,2,3,39.125,24,1,2,0,0,2,46,1,2,21,1,3,34,2,3,37,1,3,36,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,36.94117647,33,1,2,32,1,2,40,1,2,32,2,3,36,1,3,44,1,3,41,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
2,18,18,0,7,7,0,1,1,39.35294118,35,2,2,33,1,2,30,1,2,31,2,3,35,1,3,43,1,3,38,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,1,37.23529412,35,1,2,35,1,2,40,1,2,32,1,3,30,1,3,39,1,3,36,1,3
0,18,18,0,7,7,0,1,1,37.76470588,31,1,2,32,1,2,42,1,2,36,1,3,40,1,3,44,1,3,44,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,36,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
3,18,14,4,7,5,2,2,3,30.16666667,35,3,2,14,1,2,11,1,2,30,1,3,34,2,3,37,2,3,30,1,3
1,18,18,0,7,7,0,1,1,37.29411765,36,1,2,37,2,2,37,1,2,33,1,3,30,1,3,38,1,3,40,1,3
3,18,18,0,7,7,0,1,1,37.47058824,36,2,2,31,1,2,31,1,2,36,2,3,37,2,3,44,1,3,37,1,3
4,18,18,0,7,7,0,1,1,34.82352941,35,2,2,32,1,2,45,2,2,30,1,3,30,2,3,35,2,3,38,1,3
1,18,18,0,7,7,0,1,1,35.17647059,30,1,2,30,1,2,45,1,2,35,1,3,31,2,3,41,1,3,35,1,3
1,18,18,0,7,7,0,2,3,33.64705882,33,1,2,38,1,2,39,1,2,34,3,3,34,1,3,42,1,3,35,1,3
2,18,18,0,7,7,0,1,1,34.88235294,34,2,2,32,1,2,43,1,2,36,2,3,35,1,3,32,1,3,40,1,3
0,0,0,0,0,0,0,0,2,50,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,50,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,1,40.17647059,36,1,2,33,1,2,45,1,2,32,1,3,38,1,3,42,1,3,41,1,3
0,0,0,0,0,0,0,0,2,50,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,38.88235294,30,1,2,30,1,2,42,1,2,30,1,3,36,2,3,37,1,3,33,1,3
2,18,18,0,7,7,0,1,1,35.64705882,32,1,2,42,2,2,41,1,2,32,2,3,32,1,3,33,1,3,30,1,3
1,18,18,0,7,7,0,1,1,33.82352941,31,2,2,30,1,2,44,1,2,32,1,3,31,1,3,33,1,3,41,1,3
3,18,18,0,7,7,0,2,3,37.70588235,34,2,2,39,2,2,41,1,2,36,3,3,36,1,3,34,1,3,41,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,41.23529412,35,2,2,32,1,2,46,1,2,30,1,3,41,1,3,42,1,3,40,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,1,41.23529412,36,1,2,32,1,2,31,1,2,31,1,3,33,1,3,42,1,3,39,1,3
1,18,2,16,1,1,6,2,3,0,36,3,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,1,40.94117647,46,1,2,32,1,2,39,1,2,30,1,3,43,1,3,44,1,3,36,1,3
0,18,18,0,7,7,0,1,1,38.70588235,30,1,2,42,1,2,48,1,2,30,1,3,42,1,3,34,1,3,32,1,3
1,18,18,0,7,7,0,1,1,38.88235294,34,2,2,37,1,2,40,1,2,40,1,3,34,1,3,38,1,3,40,1,3
1,18,0,18,1,0,7,2,3,28,10,2,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
2,18,18,0,7,7,0,1,1,39.52941176,31,1,2,42,2,2,41,1,2,30,2,3,34,1,3,42,1,3,33,1,3
3,18,18,0,7,7,0,1,1,39.52941176,37,2,2,41,2,2,40,1,2,30,1,3,30,2,3,44,1,3,40,1,3
1,18,18,0,7,7,0,1,1,38.94117647,31,1,2,47,2,2,42,1,2,31,1,3,36,1,3,46,1,3,36,1,3
0,18,18,0,7,7,0,1,1,41.35294118,39,1,2,48,1,2,47,1,2,35,1,3,41,1,3,39,1,3,45,1,3
2,18,18,0,7,7,0,2,3,36.70588235,36,2,2,47,1,2,36,1,2,34,3,3,30,1,3,48,1,3,37,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,31,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,1,40.17647059,34,1,2,30,1,2,43,1,2,30,1,3,39,1,3,42,1,3,40,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,41.47058824,36,1,2,48,2,2,40,1,2,37,1,3,38,1,3,45,1,3,44,1,3
3,18,18,0,7,7,0,2,3,37,33,1,2,30,1,2,40,1,2,31,3,3,31,2,3,38,1,3,34,3,3
2,18,18,0,7,7,0,2,3,37.94117647,47,3,2,40,1,2,46,2,2,42,1,3,38,1,3,41,1,3,31,1,3
2,18,18,0,7,7,0,1,1,37,37,2,2,41,1,2,44,1,2,30,1,3,43,1,3,33,1,3,39,2,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,0,18,1,0,7,2,3,0,10,2,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,1,37.70588235,31,1,2,40,1,2,32,1,2,30,1,3,36,1,3,33,1,3,37,1,3
3,18,18,0,7,7,0,1,1,36.94117647,35,1,2,30,2,2,44,1,2,30,2,3,32,2,3,37,1,3,38,1,3
0,18,18,0,7,7,0,1,1,36.17647059,39,1,2,30,1,2,35,1,2,32,1,3,30,1,3,39,1,3,38,1,3
2,18,18,0,7,7,0,1,1,30.08333333,41,2,2,41,1,2,33,1,2,34,2,3,47,1,3,46,1,3,32,1,3
1,18,18,0,7,7,0,1,1,37.76470588,31,1,2,30,2,2,43,1,2,33,1,3,35,1,3,36,1,3,35,1,3
2,18,18,0,7,7,0,1,1,40.47058824,30,1,2,46,2,2,42,1,2,30,2,3,37,1,3,42,1,3,39,1,3
3,18,18,0,7,7,0,2,3,36.05882353,48,1,2,33,2,2,35,1,2,35,3,3,36,2,3,42,1,3,38,1,3
0,18,18,0,7,7,0,1,1,40.35294118,32,1,2,32,1,2,42,1,2,42,1,3,40,1,3,43,1,3,41,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,1,37.70588235,32,1,2,49,1,2,44,1,2,37,1,3,37,1,3,41,1,3,39,1,3
2,18,18,0,7,7,0,1,1,33.82352941,31,1,2,30,1,2,35,1,2,30,2,3,36,1,3,37,1,3,39,2,3
1,18,18,0,7,7,0,1,1,38.41176471,32,1,2,47,2,2,45,1,2,42,1,3,33,1,3,43,1,3,31,1,3
3,18,18,0,7,7,0,2,3,36.11764706,30,3,2,31,2,2,34,1,2,34,1,3,34,2,3,39,1,3,34,1,3
1,18,18,0,7,7,0,1,1,38.05882353,30,2,2,34,1,2,41,1,2,32,1,3,31,1,3,41,1,3,37,1,3
1,18,18,0,7,7,0,1,1,38.70588235,36,1,2,31,1,2,35,1,2,36,2,3,33,1,3,37,1,3,33,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,39.58823529,33,2,2,40,1,2,42,1,2,42,1,3,35,1,3,39,1,3,41,1,3
1,18,18,0,7,7,0,1,1,40.29411765,46,2,2,45,1,2,34,1,2,31,1,3,31,1,3,44,1,3,36,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,18,0,18,1,0,7,2,3,0,13,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
2,18,18,0,7,7,0,1,1,38.47058824,30,2,2,42,1,2,31,1,2,31,1,3,40,2,3,38,1,3,30,1,3
1,18,18,0,7,7,0,1,1,38.23529412,46,2,2,35,1,2,41,1,2,35,1,3,30,1,3,40,1,3,35,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,39.47058824,37,2,2,31,1,2,39,1,2,30,1,3,38,1,3,40,1,3,38,1,3
3,18,18,0,7,7,0,1,1,37.41176471,38,2,2,30,2,2,31,1,2,33,2,3,35,1,3,36,1,3,33,1,3
1,18,18,0,7,7,0,1,1,38.58823529,32,2,2,30,1,2,41,1,2,30,1,3,38,1,3,44,1,3,37,1,3
0,18,18,0,7,7,0,1,1,35.35294118,31,1,2,32,1,2,30,1,2,34,1,3,39,1,3,39,1,3,31,1,3
2,18,18,0,7,7,0,1,1,40.76470588,30,1,2,45,2,2,43,1,2,35,1,3,34,1,3,38,1,3,39,2,3
0,18,18,0,7,7,0,1,1,42,46,1,2,31,1,2,37,1,2,30,1,3,32,1,3,44,1,3,44,1,3
0,18,0,18,1,0,7,2,3,0,3,1,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,40.23529412,34,1,2,45,2,2,42,1,2,42,1,3,34,1,3,43,1,3,35,1,3
3,18,18,0,7,7,0,2,3,38.64705882,32,1,2,37,3,2,40,1,2,32,2,3,32,2,3,44,1,3,38,1,3
0,18,18,0,7,7,0,1,1,41.70588235,32,1,2,30,1,2,48,1,2,38,1,3,40,1,3,47,1,3,45,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,40.11764706,34,1,2,31,1,2,37,1,2,33,1,3,38,2,3,35,1,3,35,1,3
2,18,18,0,7,7,0,1,1,35.35294118,31,2,2,32,2,2,40,1,2,31,1,3,30,1,3,34,1,3,34,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,1,1,38.17647059,30,1,2,40,2,2,40,1,2,33,1,3,37,1,3,44,1,3,32,1,3
0,18,18,0,7,7,0,1,1,37.29411765,35,1,2,30,1,2,41,1,2,30,1,3,37,1,3,42,1,3,45,1,3
1,18,18,0,7,7,0,2,3,36.88235294,35,3,2,38,1,2,31,1,2,35,1,3,35,1,3,31,1,3,39,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
1,18,18,0,7,7,0,2,3,36.11764706,30,1,2,39,1,2,43,1,2,36,3,3,39,1,3,39,1,3,40,1,3
1,18,18,0,7,7,0,1,1,36,42,1,2,31,2,2,40,1,2,40,1,3,30,1,3,34,1,3,30,1,3
0,18,18,0,7,7,0,1,1,39.52941176,38,1,2,36,1,2,43,1,2,40,1,3,38,1,3,45,1,3,46,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
0,18,18,0,7,7,0,1,1,40.29411765,49,1,2,34,1,2,40,1,2,30,1,3,43,1,3,41,1,3,32,1,3
3,18,18,0,7,7,0,2,3,38.17647059,35,3,2,33,3,2,45,1,2,33,1,3,32,2,3,40,1,3,30,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
4,18,10,8,7,4,3,2,3,28,12,2,2,36,2,2,42,1,2,30,1,3,12,2,3,41,1,3,24,3,3
0,18,3,15,1,1,6,2,3,0,0,0,2,0,0,2,0,0,2,0,0,3,30,1,3,0,0,3,0,0,3
2,18,18,0,7,7,0,1,1,37.23529412,32,1,2,38,1,2,37,1,2,35,1,3,36,2,3,39,2,3,34,1,3
0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,3
