NOTA_HISTORIA_COL,VECES_HISTORIA_COL,CREDITOS_HISTORIA_COL,NOTA_GI_UNO,VECES_GI_UNO,CREDITOS_GI_UNO,NOTA_CIBERNETICA_UNO,VECES_CIBERNETICA_UNO,CREDITOS_CIBERNETICA_UNO,NOTA_REDES_COM_UNO,VECES_REDES_COM_UNO,CREDITOS_REDES_COM_UNO,NOTA_CIENCIAS_COMP_DOS,VECES_CIENCIAS_COMP_DOS,CREDITOS_CIENCIAS_COMP_DOS,NOTA_INV_OP_DOS,VECES_INV_OP_DOS,CREDITOS_INV_OP_DOS,NOTA_ESTADISTICA,VECES_ESTADISTICA,CREDITOS_ESTADISTICA,CAR_SEIS,NCC_SEIS,NCA_SEIS,NCP_SEIS,NAC_SEIS,NAA_SEIS,NAP_SEIS,EPA_SEIS,PROMEDIO_SIETE
18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,2,45,1,3,30,1,2,46,1,2,33,2,3,37,1,3,30,1,3,1,21,18,3,8,7,1,2,41.21428571
33,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,3,0,5,2,3,2,1,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,2,0,0,0,38,1,2,37,1,2,35,1,3,36,1,3,34,1,3,0,15,15,0,6,6,0,1,40.23076923
40,1,2,50,1,3,46,1,2,43,1,2,43,1,3,36,1,3,34,1,3,0,18,18,0,7,7,0,1,44.47368421
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,2,45,1,3,48,1,2,46,1,2,38,1,3,47,1,3,37,1,3,0,18,18,0,7,7,0,1,43.31578947
26,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0
40,1,2,0,0,0,0,0,0,26.5,2,2,37,1,3,35,1,3,38,1,3,1,15,11,4,6,4,2,2,33.2083325
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,2,0,2,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,2,50,1,3,33,1,2,30.5,2,2,41,1,3,37,1,3,35,1,3,1,20,18,2,8,7,1,1,42.36363636
46,1,2,50,1,3,42,1,2,37,1,2,43,1,3,48,1,3,38,1,3,0,18,18,0,7,7,0,1,43.52631579
42,1,2,45,1,3,40,1,2,47,1,2,35,1,3,42,1,3,33,1,3,0,18,18,0,7,7,0,1,37.10526316
15,1,2,0,0,0,43,1,2,0,0,0,40,1,3,30,1,3,26.5,2,3,1,16,8,8,6,3,3,2,26.55555556
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,2,0,0,0,35,1,2,25,2,2,44,1,3,43,1,3,32,1,3,1,17,13,4,7,5,2,1,34.61111111
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,2,50,1,3,45,1,2,37,1,2,44,1,3,36,1,3,32,1,3,0,18,18,0,7,7,0,1,42.31578947
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,2,50,1,3,30,1,2,43,1,2,46,1,3,41,1,3,34,1,3,0,18,18,0,7,7,0,1,45.68421053
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,2,50,1,3,31.66666667,3,2,0,0,0,18,2,3,37,1,3,40,1,3,3,23,13,10,9,5,4,2,36.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,3,36,1,3,0,6,6,0,2,2,0,1,48
47,1,2,50,1,3,30,1,2,45,1,2,46,1,3,37,1,3,42,1,3,0,18,18,0,7,7,0,1,40.42105263
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,2,0,0,0,32,1,2,0,0,0,37,1,3,38,1,3,0,0,0,0,10,10,0,4,4,0,1,41.08333333
42,1,2,50,1,3,48,1,2,34,1,2,42,1,3,44,1,3,37,1,3,0,18,18,0,7,7,0,1,42.84210526
47,1,2,50,1,3,35,1,2,38,1,2,37,1,3,42,1,3,38,1,3,0,18,18,0,7,7,0,1,45.57894737
41,1,2,50,1,3,43,1,2,35,1,2,37,1,3,42,1,3,39,1,3,0,18,18,0,7,7,0,1,40.1875
47,1,2,50,1,3,42,1,2,34,1,2,45,1,3,38,1,3,39,1,3,0,18,18,0,7,7,0,1,43.68421053
39,1,2,50,1,3,45,1,2,42,1,2,45,1,3,41,1,3,41,1,3,0,18,18,0,7,7,0,1,45.78947368
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,2,0,0,0,43,1,2,38,1,2,37,1,3,32,1,3,41,1,3,0,15,15,0,6,6,0,1,40.06666667
39,1,2,50,1,3,45,1,2,38,1,2,47,1,3,44,1,3,41,1,3,0,18,18,0,7,7,0,1,45.05263158
43,1,2,50,1,3,32,1,2,47,1,2,42,1,3,40,1,3,44,1,3,0,18,18,0,7,7,0,1,42.26315789
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,2,49,1,3,39,1,2,37,1,2,47,1,3,41,1,3,41,1,3,0,18,18,0,7,7,0,1,41.68421053
47,1,2,0,0,0,0,0,0,31,1,2,0,0,0,30,1,3,39,1,3,0,10,10,0,4,4,0,1,38
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,2,0,0,0,38,1,2,36,1,2,0,0,0,35,1,3,44,1,3,0,12,12,0,5,5,0,1,40.75
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,3,39,1,3,0,6,6,0,2,2,0,1,47
33,1,2,50,1,3,44,1,2,31.5,2,2,38,1,3,32,1,3,32,1,3,1,20,18,2,8,7,1,1,36.91666667
38,1,2,0,0,0,30,1,2,0,0,0,0,0,0,0,0,0,33,1,3,0,7,7,0,3,3,0,1,41.75
45,1,2,50,1,3,38,1,2,31,2,2,30,1,3,33,1,3,35,1,3,1,20,18,2,8,7,1,1,40.7
46,1,2,48,1,3,35,1,2,39,1,2,0,0,0,35,1,3,40,1,3,0,15,15,0,6,6,0,1,42.89473684
29.5,2,2,50,1,3,38,1,2,42,1,2,40,1,3,35,1,3,43,1,3,1,20,16,4,8,6,2,1,38.13333333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,2,0,0,0,36,1,2,34,1,2,34,1,3,42,1,3,41,1,3,0,15,15,0,6,6,0,1,39.93333333
32,1,2,0,0,0,47,1,2,40,1,2,38,1,3,41,1,3,41,1,3,0,15,15,0,6,6,0,1,38.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,2,0,0,0,36,1,2,37,1,2,38,1,3,42,1,3,34,1,3,1,17,13,4,7,5,2,2,37.08333333
45,1,2,0,0,0,36,1,2,30,1,2,32,1,3,31,1,3,0,0,0,0,12,12,0,5,5,0,1,35.5833325
46,1,2,45,1,3,37,1,2,36,1,2,43,1,3,45,1,3,40,1,3,0,18,18,0,7,7,0,1,45.1875
44,1,2,0,0,0,44,1,2,29,2,2,40,1,3,32,1,3,39,1,3,1,17,13,4,7,5,2,1,32.13333333
39,1,2,45,1,3,35,1,2,33,1,2,37,1,3,33,1,3,40,1,3,0,18,18,0,7,7,0,1,31.61111111
45,1,2,0,0,0,36,1,2,34,1,2,38,1,3,33,1,3,37,1,3,0,15,15,0,6,6,0,1,33.44444444
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,0,3,0,3,1,0,1,2,0
29,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,2,0,2,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,2,49,1,3,0,0,0,33,1,2,34,1,3,37,1,3,41,1,3,0,16,16,0,6,6,0,1,36.17647059
35,1,2,0,0,0,28,1,2,0,0,0,0,0,0,36,1,3,31,1,3,0,10,8,2,4,3,1,1,34.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,3,0,5,5,0,2,2,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,2,2,0,0,0,36,1,2,44,1,2,33,1,3,38,1,3,40,1,3,1,17,13,4,7,5,2,1,38.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,2,50,1,3,33,1,2,34,1,2,39,1,3,43,1,3,33,1,3,0,18,18,0,7,7,0,1,42.68421053
