CAR_UNO,NCC_UNO,NCA_UNO,NCP_UNO,NAC_UNO,NAA_UNO,NAP_UNO,EPA_UNO,PROMEDIO_DOS,NOTA_DIF,VECES_DIF,CREDITOS_DIF,NOTA_FIS_UNO,VECES_FIS_UNO,CREDITOS_FIS_UNO,NOTA_CFJC,VECES_CFJC,CREDITOS_CFJC,NOTA_TEXTOS,VECES_TEXTOS,CREDITOS_TEXTOS,NOTA_SEM,VECES_SEM,CREDITOS_SEM,NOTA_PROGB,VECES_PROGB,CREDITOS_PROGB
4,14,4,10,6,2,4,2,5.61765E+14,20.66666667,3,4,19.66666667,3,3,43,1,1,31,1,2,32,2,1,13.66666667,3,3
0,14,14,0,6,6,0,1,1.52549E+14,31,1,4,30,1,3,42,1,1,30,1,2,36,1,1,39,1,3
0,14,14,0,6,6,0,1,3.07647E+14,38,1,4,36,1,3,43,1,1,39,1,2,37,1,1,35,1,3
2,14,7,7,6,4,2,2,6.70588E+14,13,3,4,17.33333333,3,3,42,1,1,31,1,2,36,1,1,38,1,3
1,14,10,4,6,5,1,2,2.82353E+14,20,3,4,30,1,3,44,1,1,32,1,2,40,1,1,39,1,3
2,14,10,4,6,4,2,1,3.37941E+14,26.66666667,3,4,30.5,2,3,40,1,1,44,1,2,41,1,1,32,1,3
0,14,14,0,6,6,0,1,3.25294E+14,39,1,4,38,1,3,45,1,1,36,1,2,42,1,1,43,1,3
1,14,11,3,6,5,1,1,6.88235E+14,32,1,4,27.5,2,3,44,1,1,34,1,2,44,1,1,34,1,3
0,14,14,0,6,6,0,1,3.47647E+14,36,1,4,30,1,3,44,1,1,40,1,2,36,1,1,33,1,3
0,14,14,0,6,6,0,1,2.12353E+14,33,1,4,30,1,3,43,1,1,37,1,2,44,1,1,34,1,3
0,14,14,0,6,6,0,1,3.36765E+14,33,1,4,31,1,3,43,1,1,47,1,2,42,1,1,36,1,3
1,14,11,3,6,5,1,1,2.03824E+14,40,1,4,28,2,3,41,1,1,30,1,2,37,1,1,37,1,3
0,14,14,0,6,6,0,1,3.21765E+14,34,1,4,40,1,3,45,1,1,36,1,2,42,1,1,42,1,3
2,14,7,7,6,4,2,2,1.26471E+14,18.5,2,4,27,2,3,43,1,1,38,1,2,40,1,1,36,1,3
6,14,0,14,3,-3,6,2,0,2,2,4,0.5,2,3,0,2,1,0,2,2,0,2,1,8,3,3
3,14,7,7,6,3,3,2,2.29412E+14,15,3,4,18.33333333,3,3,43,1,1,32,1,2,41,1,1,32.5,2,3
3,14,6,8,6,3,3,2,3.61765E+14,18.66666667,3,4,12.66666667,3,3,40,1,1,30,1,2,23,3,1,33,1,3
1,14,10,4,6,5,1,2,9.94118E+14,24,3,4,30,1,3,43,1,1,34,1,2,39,1,1,36,1,3
0,14,4,10,6,6,0,2,0,26,1,4,19,1,3,38,1,1,34,1,2,31,1,1,21,1,3
0,14,14,0,6,6,0,1,1.18235E+14,34,1,4,40,1,3,45,1,1,30,1,2,38,1,1,37,1,3
3,14,1,13,4,1,3,2,0,2,2,4,3,2,3,38,1,1,0,2,2,0,1,1,2,1,3
3,14,4,10,6,3,3,2,2.11765E+14,15.33333333,3,4,7.666666667,3,3,38,1,1,36,1,2,40,1,1,6,2,3
1,14,10,4,6,5,1,2,1.79412E+14,19,3,4,32,1,3,42,1,1,34,1,2,40,1,1,33,1,3
1,14,10,4,6,5,1,1,4.76471E+14,11.5,2,4,30,1,3,42,1,1,44,1,2,39,1,1,49,1,3
1,14,14,0,6,5,1,1,3.01471E+14,30,2,4,30,1,3,42,1,1,40,1,2,41,1,1,37,1,3
