GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO
0;0;15;0;0;0;505.51;95.12;95.12;54.31;60.31;57.57;57.57;66.14;0;65.4;79.55;8;3;10;3;2008;1
0;0;10;0;0;0;472.61;67.77;67.77;56.34;54.05;51.38;51.38;61.19;0;53.94;60.2;19;3;10;3;2008;2
0;0;11;0;0;0;451.07;70.5;70.5;56.8;50.66;55.39;55.39;49.7;0;65.4;55.3;11;5;10;2;2008;2
0;1;20;1;152;19;364.66;50.54;50.54;49.32;43.47;53.22;53.22;40.94;0;41.05;43.48;1;4;5;3;2008;
1;0;1;0;0;0;493.94;70.42;70.42;54.33;66.11;62.45;62.45;64.51;0;65.4;46.92;18;6;10;2;2008;2
0;2;17;1;20;5;468.85;60.49;60.49;64.0;52.34;66.94;66.94;55.99;0;41.05;42.2;11;1;10;2;2008;
0;2;10;1;20;5;476.58;67.54;67.54;66.74;63.27;57.32;57.32;62.54;0;43.59;79.55;7;3;10;3;2008;1
0;0;10;0;0;0;460.57;63.9;63.9;54.31;58.05;57.57;57.57;53.57;0;62.45;56.28;10;3;10;3;2008;2
0;0;20;0;0;0;484.03;74.38;74.38;51.86;70.38;57.87;57.87;56.37;0;62.45;40.5;11;1;10;4;2008;
0;2;1;1;20;5;451.4;67.54;67.54;64.0;57.44;59.48;59.48;51.92;0;35.44;69.48;5;5;10;3;2008;2
0;0;13;0;0;0;449.11;79.12;79.12;46.7;48.52;57.87;57.87;54.46;0;51.72;59.25;10;1;10;4;2008;1
0;0;20;0;0;0;452.84;67.05;67.05;51.8;62.92;62.18;62.18;61.53;0;56.96;50.37;16;6;10;3;2008;2
0;0;12;0;0;0;484.85;79.16;79.16;67.15;60.31;55.39;55.39;61.53;0;46.47;56.28;10;3;10;2;2008;2
