NOTA_L_TRES,VECES_L_TRES,CREDITOS_L_TRES,NOTA_COMDIG,VECES_COMDIG,CREDITOS_COMDIG,NOTA_FDS,VECES_FDS,CREDITOS_FDS,NOTA_HSE,VECES_HSE,CREDITOS_HSE,NOTA_SISDIN,VECES_SISDIN,CREDITOS_SISDIN,NOTA_ELECPOT,VECES_ELECPOT,CREDITOS_ELECPOT,NOTA_ECO,VECES_ECO,CREDITOS_ECO,CAR_SIETE,NCC_SIETE,NCA_SIETE,NCP_SIETE,NAC_SIETE,NAA_SIETE,NAP_SIETE,EPA_SIETE,PROMEDIO_OCHO
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,37,1,3,31,1,2,0,0,1,25,2,2,25.5,2,3,32,1,2,2,15,7,8,5,3,2,1,3.08958E+14
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,30,1,2,0,15,2,13,1,1,0,2,4125
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,1.75
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,35,1,3,28.5,2,2,0,0,1,30,1,2,25.5,2,3,36,1,2,2,15,7,8,5,3,2,1,38
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,27.66666667,3,2,1,15,0,15,1,0,1,2,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,39,1,3,45,1,2,0,0,1,30,1,2,41,1,3,35,1,2,0,15,12,3,5,5,0,1,41
0,0,2,0,0,3,7,2,2,0,0,1,27.33333333,3,2,0,0,3,14.33333333,3,2,3,15,0,15,3,0,3,2,3875
0,0,2,43,1,3,21,2,2,0,0,1,27.5,2,2,31,1,3,35,1,2,2,15,8,7,5,3,2,1,39.5
0,0,2,0,0,3,0,0,2,0,0,1,0,2,2,0,0,3,0,0,2,1,0,0,0,0,-1,1,0,0
0,0,2,35,1,3,25,3,2,0,0,1,15.66666667,3,2,24.66666667,3,3,25.33333333,3,2,4,15,3,12,5,1,4,2,30
0,0,2,35,1,3,35,1,2,0,0,1,27,2,2,33,1,3,30,1,2,1,15,10,5,5,4,1,1,373125
0,0,2,34,1,3,30,1,2,0,0,1,35,1,2,31,1,3,35,1,2,0,15,12,3,5,5,0,1,39.5
0,0,2,0,0,3,0,0,2,0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
0,0,2,37,1,3,31,1,2,0,0,1,40,1,2,36,1,3,47,1,2,0,15,12,3,5,5,0,1,40625
