CAR_CUATRO,NCC_CUATRO,NCA_CUATRO,NCP_CUATRO,NAC_CUATRO,NAA_CUATRO,NAP_CUATRO,EPA_CUATRO,PROMEDIO_CINCO,NOTA_L_UNO,VECES_L_UNO,CREDITOS_L_UNO,NOTA_PYE_UNO,VECES_PYE_UNO,CREDITOS_PYE_UNO,NOTA_VARCOM,VECES_VARCOM,CREDITOS_VARCOM,NOTA_EL_DOS,VECES_EL_DOS,CREDITOS_EL_DOS,NOTA_PROGAPL,VECES_PROGAPL,CREDITOS_PROGAPL,NOTA_CAMPOS,VECES_CAMPOS,CREDITOS_CAMPOS,NOTA_FCD,VECES_FCD,CREDITOS_FCD
0,17,15,2,6,6,0,1,4.13333E+14,0,0,2,35,1,2,30,1,2,45,1,3,45,1,3,35,1,2,45,1,3
2,17,8,9,6,4,2,2,1.69167E+14,0,0,2,20,1,2,40,1,2,4,2,3,30,1,3,25,3,2,40,1,3
1,17,13,4,6,5,1,1,39.5,0,0,2,27.5,2,2,45,1,2,35,1,3,35,1,3,30,1,2,40,1,3
0,17,15,2,6,6,0,1,3.73333E+14,0,0,2,35,1,2,30,1,2,45,1,3,40,1,3,30,1,2,50,1,3
2,17,13,4,6,4,2,1,2.33333E+14,0,0,2,40,1,2,35,1,2,32.5,2,3,35,1,3,25,2,2,45,1,3
2,17,11,6,6,4,2,2,36,0,0,2,30,1,2,25,2,2,30,1,3,30,1,3,25,2,2,30,1,3
0,17,15,2,6,6,0,1,38.75,0,0,2,35,1,2,30,1,2,30,1,3,35,1,3,30,1,2,45,1,3
0,17,15,2,6,6,0,1,3.36667E+14,0,0,2,40,1,2,45,1,2,30,1,3,40,1,3,35,1,2,40,1,3
1,17,0,17,2,1,1,2,0,0,0,2,15,1,2,0,0,2,0,0,3,27.5,4,3,0,0,2,0,0,3
3,17,8,9,6,3,3,2,37.5,0,0,2,35,1,2,25,2,2,28.33333333,3,3,35,1,3,27.5,2,2,45,1,3
3,17,10,7,5,2,3,2,18.75,0,0,2,30,2,2,35,1,2,0,0,3,32.5,2,3,20,1,2,30,2,3
2,17,15,2,6,4,2,1,3.61667E+14,0,0,2,30,2,2,35,2,2,30,1,3,40,1,3,30,1,2,35,1,3
2,17,5,12,4,2,2,2,7.27778E+14,0,0,2,30,1,2,21.66666667,3,2,0,0,3,22.5,4,3,0,0,2,45,1,3
3,17,5,12,4,1,3,2,6.66667E+14,0,0,2,35,1,2,1,2,2,0,0,3,30,2,3,0,0,2,8,2,3
0,17,2,15,1,1,0,2,0,0,0,2,40,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
0,17,15,2,6,6,0,1,4.43333E+14,0,0,2,40,1,2,40,1,2,35,1,3,45,1,3,30,1,2,45,1,3
3,17,9,8,6,3,3,2,3.71667E+14,0,0,2,25,2,2,23.33333333,3,2,31,1,3,40,1,3,25,2,2,50,1,3
2,17,13,4,6,4,2,1,3.91667E+14,0,0,2,27.5,2,2,32.5,2,2,30,1,3,45,1,3,30,1,2,40,1,3
0,17,15,2,6,6,0,1,3.98333E+14,0,0,2,35,1,2,45,1,2,30,1,3,30,1,3,35,1,2,40,1,3
0,17,8,9,4,4,0,2,5,0,0,2,35,1,2,20,1,2,0,0,3,40,1,3,0,0,2,45,1,3
0,17,8,9,5,5,0,2,2.5,0,0,2,35,1,2,15,1,2,0,0,3,40,1,3,15,1,2,45,1,3
0,17,2,15,1,1,0,2,0,0,0,2,30,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
1,17,13,4,6,5,1,1,4.18333E+14,0,0,2,35,1,2,30,1,2,35,1,3,40,1,3,18.33333333,3,2,40,1,3
1,17,13,4,6,5,1,1,3.28333E+14,0,0,2,30,1,2,35,1,2,40,1,3,40,1,3,27.5,2,2,50,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
3,17,8,9,6,3,3,2,1.90278E+14,0,0,2,30,1,2,23.33333333,3,2,20.5,2,3,35,1,3,23.25,4,2,40,1,3
0,17,15,2,6,6,0,1,39,0,0,2,30,1,2,30,1,2,30,1,3,50,1,3,30,1,2,50,1,3
0,17,0,17,1,1,0,2,0,0,0,2,15,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
1,17,0,17,1,0,1,2,0,0,0,2,25,2,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
2,17,10,7,5,3,2,2,2.70278E+14,0,0,2,0,0,2,30,1,2,24.66666667,3,3,31,1,3,32.5,2,2,45,1,3
2,17,3,14,5,3,2,2,0,0,0,2,25,2,2,15,1,2,0,0,3,45,1,3,15,1,2,25,2,3
1,17,15,2,6,5,1,1,38,0,0,2,40,1,2,30,1,2,30,2,3,35,1,3,30,1,2,45,1,3
1,17,2,15,1,0,1,2,0,0,0,2,32.5,2,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
0,17,15,2,6,6,0,1,38.5,0,0,2,30,1,2,40,1,2,30,1,3,45,1,3,35,1,2,40,1,3
3,17,8,9,6,3,3,2,1.35278E+14,0,0,2,30,1,2,24.4,5,2,26.5,2,3,40,1,3,23.33333333,3,2,35,1,3
0,17,0,17,1,1,0,2,0,0,0,2,15,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
0,17,15,2,6,6,0,1,3.43333E+14,0,0,2,35,1,2,30,1,2,40,1,3,45,1,3,40,1,2,40,1,3
1,17,3,14,2,1,1,2,5.83333E+14,0,0,2,25,2,2,0,0,2,0,0,3,40,1,3,0,0,2,0,0,3
1,17,11,6,5,4,1,2,4.09167E+14,0,0,2,0,0,2,30,1,2,30,1,3,35,1,3,25,2,2,40,1,3
0,17,15,2,6,6,0,1,38.5,0,0,2,35,1,2,45,1,2,45,1,3,40,1,3,30,1,2,40,1,3
0,17,15,2,6,6,0,1,35,0,0,2,35,1,2,45,1,2,35,1,3,40,1,3,35,1,2,45,1,3
0,17,13,4,5,5,0,2,39.5,0,0,2,0,0,2,35,1,2,30,1,3,35,1,3,35,1,2,35,1,3
0,17,5,12,2,2,0,2,0,0,0,2,40,1,2,0,0,2,0,0,3,40,1,3,0,0,2,0,0,3
3,17,3,14,4,1,3,2,1.5,0,0,2,22.5,2,2,0,0,2,8.5,2,3,27.5,2,3,0,0,2,35,1,3
0,17,0,17,1,1,0,2,0,0,0,2,15,1,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
2,17,3,14,3,1,2,2,0,0,0,2,20,1,2,0,0,2,0,0,3,21.66666667,3,3,0,0,2,32.5,2,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
2,17,7,10,5,3,2,2,3.18333E+14,0,0,2,0,0,2,30,1,2,27,2,3,27.5,2,3,31,1,2,30,1,3
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,3
3,17,10,7,5,2,3,2,2.46667E+14,0,0,2,0,0,2,30,2,2,27.5,2,3,35,1,3,30,2,2,45,1,3
1,17,5,12,4,3,1,2,3.33333E+14,0,0,2,0,0,2,35,1,2,0,0,3,22.5,4,3,13,1,2,30,1,3
