NOTA_EI_CINCO,VECES_EI_CINCO,CREDITOS_EI_CINCO,NOTA_EE_DOS,VECES_EE_DOS,CREDITOS_EE_DOS,NOTA_EI_SEIS,VECES_EI_SEIS,CREDITOS_EI_SEIS,NOTA_ORD_TER,VECES_ORD_TER,CREDITOS_ORD_TER,NOTA_TG_UNO,VECES_TG_UNO,CREDITOS_TG_UNO,CAR_NUEVE,NCC_NUEVE,NCA_NUEVE,NCP_NUEVE,NAC_NUEVE,NAA_NUEVE,NAP_NUEVE,EPA_NUEVE,ESTADO NUEVE,PROMEDIO_DIEZ
40,1,3,43,1,2,0,0,3,37,1,3,42,1,2,0,13,10,3,4,4,1,1,1,40.72727273
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
39,1,3,50,1,2,41,1,3,45,1,3,48,1,2,0,13,13,0,5,5,0,1,1,43.81818182
41,1,3,42,1,2,0,0,3,43,1,3,50,1,2,0,13,10,3,4,4,1,1,1,44
38,1,3,39,1,2,32,1,3,44,1,3,50,1,2,0,13,13,0,5,5,0,1,1,42.625
0,0,3,41,1,2,0,0,3,0,0,3,0,0,2,0,13,2,11,2,1,4,2,3,50
41,1,3,42,1,2,0,0,3,47,1,3,43,1,2,0,13,10,3,4,4,1,1,1,39.72727273
30,1,3,35,1,2,0,0,3,48,1,3,43,1,2,0,13,10,3,4,4,1,1,1,44.09090909
32,1,3,44,1,2,30,1,3,43,1,3,37,1,2,0,13,13,0,5,5,0,1,1,42.25
43,1,3,47,1,2,39,1,3,46,1,3,47,1,2,0,13,13,0,5,5,0,1,1,39.375
0,0,3,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0
39,1,3,46,1,2,0,0,3,47,1,3,41,1,2,0,13,10,3,4,4,1,1,1,41.45454545
38,1,3,35,1,2,0,0,3,39,1,3,38,1,2,0,13,10,3,4,4,1,1,1,42.36363636
31,1,3,47,1,2,0,0,3,42,1,3,31,1,2,0,13,10,3,4,4,1,1,1,41.72727273
37,1,3,36,1,2,0,0,3,42,1,3,49,1,2,0,13,10,3,4,4,1,1,1,42.27272727
37,1,3,47,1,2,30,1,3,43,1,3,43,1,2,0,13,13,0,5,5,0,1,1,38.625
39,1,3,40,1,2,35,1,3,45,1,3,38,1,2,0,13,13,0,5,5,0,1,1,43
