CAR_TRES,NCC_TRES,NCA_TRES,NCP_TRES,NAC_TRES,NAA_TRES,NAP_TRES,EPA_TRES,PROMEDIO_CUATRO,NOTA_SEGUNDA_LENGUA_DOS,VECES_SEGUNDA_LENGUA_DOS,CREDITOS_SEGUNDA_LENGUA_DOS,NOTA_EE_DOS,VECES_EE_DOS,CREDITOS_EE_DOS,NOTA_FISICA_DOS,VECES_FISICA_DOS,CREDITOS_FISICA_DOS,NOTA_MULTIVARIADO,VECES_MULTIVARIADO,CREDITOS_MULTIVARIADO,NOTA_ECUACIONES,VECES_ECUACIONES,CREDITOS_ECUACIONES,NOTA_TGS,VECES_TGS,CREDITOS_TGS,NOTA_PROG_AVANZADA,VECES_PROG_AVANZADA,CREDITOS_PROG_AVANZADA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,18,0,7,7,0,1,41.83333333,47,1,2,46,1,2,35,1,3,30,1,3,30,1,3,40,1,2,40,1,3
0,2,0,2,1,0,1,2,0,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,1,1,0,1,0,0,0,0,50,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,18,0,7,7,0,1,42.66666667,36,1,2,45,1,2,35,1,3,30,1,3,35,1,3,40,1,2,40,1,3
2,24,12,12,9,5,4,2,25.3125,37,1,2,40,1,2,36,1,3,26.5,2,3,31,1,3,34,1,2,28,2,3
7,37,7,30,14,3,11,2,36.46666667,29,2,2,34,1,2,15,4,3,29,2,3,29.5,2,3,31.5,2,2,31,1,3
0,18,18,0,7,7,0,1,44.27777778,42,1,2,47,1,2,30,1,3,30,1,3,40,1,3,45,1,2,45,1,3
2,6,0,6,3,0,3,2,36.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33333333,3,2,0,0,0
5,31,7,24,11,3,8,2,37.45454545,0,0,0,40,1,2,22.33333333,3,3,12,2,3,20.66666667,3,3,30,1,2,37,1,3
1,21,18,3,8,7,1,2,38.05555556,41,1,2,38,1,2,30.5,2,3,40,1,3,32,1,3,40,1,2,35,1,3
7,38,7,31,14,3,11,2,16.31372549,29,2,2,42,1,2,25,3,3,21.66666667,3,3,14.33333333,3,3,42,1,2,47,1,3
1,6,0,6,3,0,3,2,0,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,5.5,2,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,18,0,7,7,0,1,33.16666667,45,1,2,46,1,2,36,1,3,35,1,3,35,1,3,40,1,2,50,1,3
1,21,18,3,8,7,1,2,38.55555556,34,1,2,37,1,2,30,1,3,35,1,3,38,1,3,30,1,2,31.5,2,3
0,2,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,18,0,7,7,0,1,37.61111111,44,1,2,45,1,2,30,1,3,38,1,3,32,1,3,35,1,2,45,1,3
1,13,7,6,5,3,2,2,25.75,46,1,2,0,0,0,0,0,0,0,0,0,22,2,3,41,1,2,39,1,3
1,20,18,2,8,7,1,2,36.38888889,30,2,2,47,1,2,36,1,3,33,1,3,33,1,3,30,1,2,30,1,3
4,22,0,22,8,0,8,2,33.33333333,0,0,0,0,0,0,0,0,0,14.5,2,3,4.5,2,3,25,2,2,17.5,2,3
0,18,18,0,7,7,0,1,40.05555556,39,1,2,43,1,2,35,1,3,33,1,3,39,1,3,35,1,2,45,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24,15,9,9,6,3,2,37.77777778,41,1,2,42,1,2,35,1,3,27.66666667,3,3,40,1,3,30,1,2,35,1,3
2,18,7,11,7,3,4,2,25.33333333,4,1,2,30,1,2,0,0,0,0,0,0,4.5,2,3,39,1,2,30,2,3
0,18,18,0,7,7,0,1,28.375,43,1,2,44,1,2,30,1,3,40,1,3,32,1,3,35,1,2,35,1,3
3,27,15,12,10,6,4,2,32.21428571,43,1,2,46,1,2,31,2,3,30,2,3,26.5,2,3,35,1,2,35,1,3
5,16,0,16,7,0,7,2,0,0,0,0,0,0,0,9.5,2,3,0,0,0,0,0,0,12.8,5,2,0,0,0
1,21,15,6,8,6,2,2,30.95238095,41,1,2,37,1,2,30,1,3,30,1,3,29,2,3,35,1,2,45,1,3
0,18,18,0,7,7,0,1,38.94444444,45,1,2,42,1,2,30,1,3,30,1,3,35,1,3,42,1,2,40,1,3
0,10,7,3,4,3,1,2,0,0,0,0,41,1,2,34,1,3,0,0,0,0,0,0,42,1,2,16,1,3
2,24,12,12,9,5,4,2,39.61111111,46,1,2,46,1,2,30,1,3,29.5,2,3,29.5,2,3,34,1,2,35,1,3
0,2,0,2,1,0,1,2,0,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,15,6,8,6,2,1,36.66666667,44,1,2,44,1,2,27,2,3,36,1,3,34,1,3,39,1,2,46,1,3
1,9,5,4,4,2,2,2,37,0,0,0,40,1,2,0,0,0,0,0,0,0,0,0,22.5,2,2,40,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,7,6,5,3,2,2,30.44444444,32,1,2,0,0,0,0,0,0,0,0,0,20.5,2,3,36,1,2,40,1,3
0,2,0,2,1,0,1,2,0,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,23,2,21,8,1,7,2,12,0,0,0,0,0,0,22.5,2,3,13,3,3,0,0,0,30,1,2,24.5,2,3
3,26,10,16,10,4,6,2,35.73333333,36,1,2,45,1,2,24,2,3,28.5,2,3,32,1,3,29.5,2,2,40,1,3
4,26,8,18,9,3,6,2,35.5,0,0,0,0,0,0,36,1,3,14.33333333,3,3,20,3,3,41,1,2,40,1,3
5,33,9,24,12,4,8,2,28.26190476,43,1,2,44,1,2,23.5,4,3,23,2,3,27.5,2,3,39,1,2,35,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,18,3,8,7,1,2,17.26344086,41,1,2,36,1,2,32,1,3,30,1,3,35,1,3,37,1,2,33.5,2,3
0,2,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0,7,3,0,3,2,34,0,0,0,0,0,0,0,0,0,12,1,3,0,0,0,7.5,2,2,0,0,0
3,27,15,12,10,6,4,2,20.72413793,46,1,2,42,1,2,32,1,3,31,2,3,21,3,3,39,1,2,36,1,3
0,5,2,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,2,4,1,3
0,18,18,0,7,7,0,1,37.66666667,45,1,2,43,1,2,37,1,3,30,1,3,37,1,3,42,1,2,47,1,3
0,2,2,0,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,2,0,0,0
1,21,18,3,8,7,1,1,40.33333333,46,1,2,44,1,2,38,1,3,30,2,3,33,1,3,41,1,2,47,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,5,6,4,2,2,2,24,0,0,0,0,0,0,0,0,0,2,1,3,8,1,3,31,1,2,38,1,3
1,21,15,6,8,6,2,2,40.33333333,46,1,2,41,1,2,34,1,3,29.5,2,3,32,1,3,40,1,2,40,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2,12,5,1,4,2,38,0,0,0,0,0,0,3,2,3,0,0,0,9,1,3,30,1,2,0,1,3
1,4,0,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,2,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,18,0,7,7,0,1,41.16666667,38,1,2,47,1,2,39,1,3,44,1,3,46,1,3,44,1,2,45,1,3
2,20,8,12,7,3,4,2,7.12,0,0,0,0,0,0,0,1,3,24,3,3,31,1,3,30,1,2,41,1,3
0,18,18,0,7,7,0,1,26.45833333,46,1,2,43,1,2,37,1,3,34,1,3,32,1,3,37,1,2,30,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,18,0,7,7,0,1,41.72222222,35,1,2,47,1,2,39,1,3,37,1,3,32,1,3,44,1,2,47,1,3
1,21,15,6,8,6,2,2,24.875,43,1,2,38,1,2,37,1,3,25,2,3,31,1,3,30,1,2,35,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,27,12,15,10,5,5,2,31.09090909,39,1,2,44,1,2,30,1,3,25,3,3,19,2,3,38,1,2,41,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,32,2,30,11,1,10,2,7.045454545,0,0,0,0,0,0,14.5,2,3,2.5,2,3,16.33333333,3,3,37,1,2,3,3,3
0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,2,0,0,0
5,33,9,24,12,4,8,2,21.31034483,42,1,2,45,1,2,33,1,3,24.66666667,3,3,24.66666667,3,3,38,1,2,23.5,2,3
1,11,5,6,4,2,2,2,33.66666667,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,35,1,2,31,2,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,27,15,12,10,6,4,2,24.85416667,38,1,2,44,1,2,31,1,3,30,1,3,28.33333333,3,3,35,1,2,32.5,2,3
3,27,15,12,10,6,4,2,27.20833333,42,1,2,42,1,2,30,2,3,32,2,3,34,1,3,42,1,2,29.5,2,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,2,7,4,1,3,2,31,41,1,2,0,0,0,0,0,0,0,0,0,0,0,0,28,2,2,25,1,3
1,21,15,6,8,6,2,2,22.52,44,1,2,40,1,2,42,1,3,30,1,3,20,2,3,41,1,2,35,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,11,3,5,4,1,2,20.26470588,0,0,0,0,0,0,38,1,3,23,1,3,30,1,3,35,1,2,32,1,3
0,18,18,0,7,7,0,1,31.0952381,36,1,2,45,1,2,45,1,3,37,1,3,30,1,3,40,1,2,41,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,25,10,15,9,4,5,2,16.19166667,38,1,2,0,0,0,30,2,3,21.5,2,3,26,2,3,39,1,2,31,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,18,0,7,7,0,1,32.07142857,46,1,2,43,1,2,36,1,3,34,1,3,32,1,3,42,1,2,40,1,3
0,8,8,0,3,3,0,1,26.66666667,0,0,0,0,0,0,31,1,3,0,0,0,0,0,0,41,1,2,31,1,3
0,18,18,0,7,7,0,1,26.22916667,43,1,2,41,1,2,35,1,3,35,1,3,34,1,3,41,1,2,42,1,3
0,5,5,0,2,2,0,1,0,0,0,0,0,0,0,31,1,3,0,0,0,0,0,0,36,1,2,0,0,0
0,18,18,0,7,7,0,1,40.11111111,42,1,2,48,1,2,32,1,3,31,1,3,43,1,3,42,1,2,47,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,2,9,4,1,3,2,19.79166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,2,24,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,4,2,0,2,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,2,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,18,0,7,7,0,1,38.27777778,45,1,2,40,1,2,40,1,3,38,1,3,31,1,3,42,1,2,43,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,30,12,18,11,5,6,2,29.55,40,1,2,44,1,2,14.66666667,3,3,30,1,3,25.66666667,3,3,40,1,2,38,1,3
0,18,18,0,7,7,0,1,32.73809524,44,1,2,44,1,2,35,1,3,30,1,3,35,1,3,43,1,2,41,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,15,6,8,6,2,1,39,42,1,2,46,1,2,40,1,3,28,2,3,43,1,3,42,1,2,47,1,3
0,5,5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,2,35,1,3
0,18,18,0,7,7,0,1,23.40740741,38,1,2,44,1,2,32,1,3,30,1,3,33,1,3,39,1,2,36,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24,15,9,9,6,3,2,23.66,37,1,2,39,1,2,36,1,3,32.5,2,3,25,2,3,36,1,2,39,1,3
3,27,6,21,10,3,7,2,31,37,1,2,34,1,2,25.33333333,3,3,13,1,3,16,1,3,30,1,2,14,2,3
2,24,15,9,9,6,3,2,24.70833333,35,1,2,39,1,2,33,1,3,21.33333333,3,3,35,1,3,32,1,2,35,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24,15,9,9,6,3,2,29.14285714,36,1,2,40,1,2,18.5,2,3,30,2,3,30,1,3,37,1,2,33,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24,15,9,9,6,3,2,24.7,34,1,2,42,1,2,42,1,3,24.66666667,3,3,32,1,3,41,1,2,39,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,13,0,5,5,0,1,28.21428571,32,1,2,0,0,0,37,1,3,32,1,3,0,0,0,40,1,2,45,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,15,6,8,6,2,2,24.75,40,1,2,45,1,2,35,1,3,23,2,3,43,1,3,38,1,2,34,1,3
2,24,12,12,9,5,4,2,26.7826087,48,1,2,41,1,2,29,2,3,34,1,3,37,1,3,39,1,2,28,2,3
2,24,12,12,9,5,4,2,26.52083333,44,1,2,44,1,2,38,1,3,21.5,2,3,24.5,2,3,38,1,2,35,1,3
1,14,2,12,5,1,4,2,36.33333333,0,0,0,0,0,0,0,0,0,12,1,3,8,2,3,39,1,2,7,1,3
1,21,15,6,8,6,2,2,26.44,40,1,2,41,1,2,35,1,3,34,1,3,26,2,3,40,1,2,40,1,3
0,18,18,0,7,7,0,1,26.89583333,43,1,2,40,1,2,34,1,3,37,1,3,35,1,3,41,1,2,38,1,3
