CAR_OCHO,NCC_OCHO,NCA_OCHO,NCP_OCHO,NAC_OCHO,NAA_OCHO,NAP_OCHO,EPA_OCHO,PROMEDIO_NUEVE,VECES_EI_OP_AI,CREDITOS_EI_OP_AI,NOTA_EE_CUATRO,VECES_EE_CUATRO,CREDITOS_EE_CUATRO,NOTA_EI_OP_BI,VECES_EI_OP_BI,CREDITOS_EI_OP_BI,NOTA_ING_ECONOMICA,VECES_ING_ECONOMICA,CREDITOS_ING_ECONOMICA,NOTA_CIBERNETICA_TRES,VECES_CIBERNETICA_TRES,CREDITOS_CIBERNETICA_TRES,NOTA_REDES_COM_TRES,VECES_REDES_COM_TRES,CREDITOS_REDES_COM_TRES,NOTA_DIS_ARQ_SOFT,VECES_DIS_ARQ_SOFT,CRADITOS_DIS_ARQ_SOFT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,13,0,5,5,0,1,43.4,1,3,0,0,0,0,0,0,38,1,2,50,1,2,48,1,2,45,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19,13,6,7,5,2,1,41.9375,2,3,0,0,0,37,1,3,41,1,2,46,1,2,43,1,2,46,1,4
0,13,13,0,5,5,0,1,45.5,1,3,0,0,0,0,0,0,46,1,2,42,1,2,36,1,2,46,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,44.53846154,1,3,0,0,0,40,1,3,41,1,2,43,1,2,48,1,2,50,1,4
0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,9,8,7,3,4,2,38.6,1,3,0,0,0,0,0,0,25.5,2,2,18,2,2,35,1,2,43,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,24,11,13,9,4,5,2,19.83333333,1,3,0,0,0,17.33333333,3,3,37,1,2,23.5,2,2,39,1,2,44,1,4
0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,13,0,5,5,0,1,21.1,1,3,0,0,0,0,0,0,30,1,2,40,1,2,35,1,2,41,1,4
0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,16,0,6,6,0,1,44,1,3,0,0,0,41,1,3,48,1,2,47,1,2,45,1,2,38,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,13,0,5,5,0,1,43.30769231,1,3,0,0,0,0,0,0,31,1,2,35,1,2,46,1,2,48,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,13,2,6,5,1,1,40.25,1,3,0,0,0,0,0,0,34,2,2,43,1,2,36,1,2,48,1,4
0,13,13,0,5,5,0,1,39,1,3,0,0,0,0,0,0,34,1,2,45,1,2,45,1,2,49,1,4
0,16,16,0,6,6,0,1,42.15384615,1,3,0,0,0,37,1,3,32,1,2,45,1,2,45,1,2,50,1,4
0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,13,2,6,5,1,1,35.6,1,3,0,0,0,0,0,0,32.5,2,2,38,1,2,31,1,2,43,1,4
0,16,16,0,6,6,0,1,35.9375,1,3,0,0,0,35,1,3,39,1,2,44,1,2,38,1,2,45,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,2,9,4,1,3,2,41,3,3,0,0,0,0,0,0,41,1,2,0,0,0,0,0,0,0,0,0
0,13,13,0,5,5,0,1,32.75,1,3,0,0,0,0,0,0,30,1,2,44,1,2,48,1,2,40,1,4
0,16,16,0,6,6,0,1,45.61538462,1,3,0,0,0,38,1,3,39,1,2,44,1,2,49,1,2,50,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
