NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;NOTA_ECONOMIA_DOS;VECES_ECONOMIA_DOS;CREDITOS_ECONOMIA_DOS;NOTA_PLINEAL;VECES_PLINEAL;CREDITOS_PLINEAL;NOTA_DERECHO;VECES_DERECHO;CREDITOS_DERECHO;NOTA_IECONOMICA;VECES_IECONOMICA;CREDITOS_IECONOMICA;NOTA_DISENO;VECES_DISENO;CREDITOS_DISENO;NOTA_METODOS;VECES_METODOS;CREDITOS_METODOS;NOTA_SEGURIDAD;VECES_SEGURIDAD;CREDITOS SEGURIDAD;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;RENDIMIENTO_SIETE;PROMEDIO_SIETE
1734;26.6;31.533333333333335;37.0;0.0;30.735294117647058;30.5;36.0;0;35.8235294117647;33.0;34.0;43.0;40.0;37.0;31.77777777777778;0;8;8;0;4;4;0;1;39.0;1;2;37.0;1;3;37.0;1;1;30.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;2;34.166666666666664
1737;7.384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0;33.5;0.0;0.0;0.0;31.0;36.0;45.0;0;2;2;0;1;1;0;1;0.0;0;2;0.0;0;3;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;45;1;2;1;0.0
1738;34.0;35.333333333333336;34.0;0.0;36.529411764705884;37.0;30.0;0;31.5;35.0;32.0;47.0;0.0;0.0;31.03125;2;19;15;4;7;6;1;1;30.0;1;2;29.5;2;3;35.0;2;1;43.0;1;2;32.0;1;2;31.0;1;3;35.0;1;2;0;0;2;2;35.25
1740;33.93333333333333;37.705882352941174;34.0;43.0;41.666666666666664;36.0;43.0;0;35.05882352941177;32.0;37.0;39.5;36.0;35.0;35.25;0;12;12;0;6;6;0;1;32.0;1;2;31.0;1;3;42.0;1;1;33.0;1;2;39.0;1;2;0.0;0;3;0.0;0;2;40;1;2;2;36.416666666666664
1742;33.6;39.05882352941177;37.0;48.0;43.388888888888886;47.0;40.0;42;39.705882352941174;37.0;43.0;48.0;40.0;44.0;41.13333333333333;0;15;15;0;7;7;0;1;32.0;1;2;40.0;1;3;44.0;1;1;50.0;1;2;47.0;1;2;37.0;1;3;0.0;0;2;42;1;2;2;37.9
1744;35.6;33.9;33.5;0.0;37.411764705882355;41.0;32.0;0;37.029411764705884;34.0;37.0;46.0;40.0;43.0;37.9;0;10;10;0;5;5;0;1;30.0;1;2;42.0;1;3;47.0;1;1;35.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;38;1;2;2;35.0
1745;30.7;36.529411764705884;34.0;46.0;37.529411764705884;46.0;0.0;0;36.35294117647059;32.0;30.0;48.0;40.0;42.0;33.2;0;10;10;0;5;4;1;1;32.0;1;2;32.0;1;3;40.0;1;1;48.0;1;2;0.0;0;2;0.0;0;3;0.0;0;2;18;1;2;2;34.7
1747;38.733333333333334;42.588235294117645;35.0;49.0;42.77777777777778;39.0;34.0;0;36.970588235294116;30.5;33.0;38.0;35.0;45.0;37.93333333333333;0;15;15;0;7;7;0;1;0.0;0;2;33.0;1;3;39.0;1;1;40.0;1;2;40.0;1;2;35.0;1;3;41.0;1;2;42;1;2;2;36.375
1748;34.0;36.96666666666667;38.0;0.0;37.1764705882353;42.0;35.0;0;37.733333333333334;40.0;39.0;0.0;41.0;34.0;36.607142857142854;1;17;14;3;7;6;1;1;39.0;1;2;24.5;2;3;47.0;1;1;36.0;1;2;44.0;1;2;0.0;0;3;39.0;1;2;38;1;2;3;43.45454545454545
1749;32.63333333333333;35.53333333333333;33.0;0.0;36.294117647058826;42.0;33.0;0;29.9;0.0;0.0;0.0;39.0;30.0;34.4;1;7;5;2;3;3;0;1;0.0;0;2;0.0;0;3;32.0;1;1;31.0;2;2;0.0;0;2;0.0;0;3;0.0;0;2;39;1;2;1;27.75
